cudagraph_mode,batch_size,sm_clock,input_len,model_name,kv_cache_lens,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding,4097,4902251,1040,1.7158,65,198.13722222222222,339.9638458888889,100.0,57.0
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding,4098,9470158,1040,1.7158,65,198.26977777777776,340.1912847111111,100.0,57.0
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding,4099,4901404,1040,1.7159,65,198.6144814814815,340.80258877407414,100.0,57.0
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill,0,6342120,16,4.0051,1,319.61293103448276,1280.0817500862067,100.0,18.344827586206897
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding,4096,5459188,1296,1.7365,81,245.59825925925927,426.4813772037037,100.0,70.0
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding,4097,5461479,1296,1.7366,81,245.82170370370375,426.89397065185193,100.0,70.0
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding,4098,5462630,1296,1.7362,81,245.7358518518519,426.64658598518525,100.0,70.0
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding,4099,5464440,1296,1.7366,81,245.85185185185185,426.9463259259259,100.0,70.0
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill,0,7250638,16,3.3734,1,421.5876274509804,1422.1837024431372,100.0,21.294117647058822
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding,4096,520008,1552,1.7901,97,282.2806896551724,505.31066255172414,100.0,81.0
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding,4097,520105,1552,1.7902,97,283.01300000000003,506.64987260000004,100.0,81.0
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding,4098,520264,1552,1.7901,97,285.67107142857145,511.37978496428576,100.0,81.0
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding,4099,491499,1552,1.7902,97,289.8263793103448,518.8471842413793,100.0,81.0
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill,0,8163910,16,2.9344,1,536.0369555555554,1572.946842382222,100.0,24.68888888888889
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding,4096,608917,1808,1.9955,113,305.62687500000004,609.8784290625001,100.0,85.0
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding,4097,608828,1808,1.9954,113,305.5122903225806,609.6192241096774,100.0,85.0
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding,4098,7226259,1808,1.9954,113,305.39812500000005,609.3914186250001,100.0,85.0
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding,4099,608220,1808,1.9956,113,305.230393939394,609.1177741454546,100.0,85.0
NONE,16,2242,4096,Qwen/Qwen3-8B_prefill,0,3419386,32,5.6524,2,599.9244074074073,3391.012720429629,100.0,25.62962962962963
FULL,16,2422,4096,Qwen/Qwen3-8B_decoding,4096,844286,2080,2.2556,130,369.53555555555556,833.524399111111,100.0,86.0
FULL,16,2422,4096,Qwen/Qwen3-8B_decoding,4097,807651,2080,2.2553,130,369.33399999999995,832.9589702,100.0,86.0
FULL,16,2422,4096,Qwen/Qwen3-8B_decoding,4098,843480,2080,2.2554,130,369.0915833333333,832.4491570499998,100.0,86.0
