cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,gpu_util_pct
NONE,16,1230,2048,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,1230,2048,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,930,2048,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,930,2048,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,2430,1024,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,2430,1024,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,2130,1024,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,2130,1024,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,1830,1024,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,1830,1024,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,1530,1024,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,1530,1024,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,1230,1024,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,1230,1024,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,930,1024,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,930,1024,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,2430,512,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,2430,512,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,2130,512,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,2130,512,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,1830,512,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,1830,512,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,1530,512,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,1530,512,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,1230,512,nvidia/Qwen3-8B-FP8_prefill-all,99.46666666666665
FULL,16,1230,512,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,930,512,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,930,512,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,94.19047619047619
FULL,16,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,2130,256,nvidia/Qwen3-8B-FP8_prefill-all,95.23809523809524
FULL,16,2130,256,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,1830,256,nvidia/Qwen3-8B-FP8_prefill-all,100.0
