cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,avg_temperature_C
FULL,16,1230,256,nvidia/Qwen3-8B-NVFP4_decoding-all,33.1875
NONE,16,930,256,nvidia/Qwen3-8B-NVFP4_prefill-all,34.833333333333336
FULL,16,930,256,nvidia/Qwen3-8B-NVFP4_decoding-all,30.541666666666668
NONE,16,2430,8192,nvidia/Qwen3-8B-FP8_prefill-all,60.25396825396825
FULL,16,2430,8192,nvidia/Qwen3-8B-FP8_decoding-all,52.416666666666664
NONE,16,2130,8192,nvidia/Qwen3-8B-FP8_prefill-all,64.90476190476191
FULL,16,2130,8192,nvidia/Qwen3-8B-FP8_decoding-all,52.099074074074075
NONE,16,1830,8192,nvidia/Qwen3-8B-FP8_prefill-all,58.833333333333336
FULL,16,1830,8192,nvidia/Qwen3-8B-FP8_decoding-all,48.324074074074076
NONE,16,1530,8192,nvidia/Qwen3-8B-FP8_prefill-all,50.53703703703704
FULL,16,1530,8192,nvidia/Qwen3-8B-FP8_decoding-all,43.510416666666664
NONE,16,1230,8192,nvidia/Qwen3-8B-FP8_prefill-all,44.382352941176464
FULL,16,1230,8192,nvidia/Qwen3-8B-FP8_decoding-all,38.791666666666664
NONE,16,930,8192,nvidia/Qwen3-8B-FP8_prefill-all,39.40319865319865
FULL,16,930,8192,nvidia/Qwen3-8B-FP8_decoding-all,35.19230769230769
NONE,16,2430,4096,nvidia/Qwen3-8B-FP8_prefill-all,55.7962962962963
FULL,16,2430,4096,nvidia/Qwen3-8B-FP8_decoding-all,48.394444444444446
NONE,16,2130,4096,nvidia/Qwen3-8B-FP8_prefill-all,60.025925925925925
FULL,16,2130,4096,nvidia/Qwen3-8B-FP8_decoding-all,48.12268518518518
NONE,16,1830,4096,nvidia/Qwen3-8B-FP8_prefill-all,55.72727272727273
FULL,16,1830,4096,nvidia/Qwen3-8B-FP8_decoding-all,45.6875
NONE,16,1530,4096,nvidia/Qwen3-8B-FP8_prefill-all,48.93589743589744
FULL,16,1530,4096,nvidia/Qwen3-8B-FP8_decoding-all,42.714285714285715
NONE,16,1230,4096,nvidia/Qwen3-8B-FP8_prefill-all,44.17777777777778
