cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,total_energy_based_avg_power_W
FULL,16,1530,512,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,219.0393834672881
NONE,16,1230,512,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,240.19281168101836
FULL,16,1230,512,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,177.19529157427058
NONE,16,930,512,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,164.03518597832178
FULL,16,930,512,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,153.91585819286246
NONE,16,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,596.5592937943936
FULL,16,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,335.5908658304456
NONE,16,2130,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,468.59740466523357
FULL,16,2130,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,268.5980067788387
NONE,16,1830,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,368.1630311744731
FULL,16,1830,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,248.58205475659688
NONE,16,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,272.8173251117722
FULL,16,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,213.4352140164777
NONE,16,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,233.86208527070693
FULL,16,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,186.37923155868188
NONE,16,930,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,167.24285666655553
FULL,16,930,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,151.00006369561987
NONE,16,2430,8192,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,601.3772968813369
FULL,16,2430,8192,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,378.09848863781247
NONE,16,2130,8192,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,452.9496568581366
FULL,16,2130,8192,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,316.77208064113586
NONE,16,1830,8192,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,354.6695459615243
FULL,16,1830,8192,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,276.7421934619274
NONE,16,1530,8192,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,256.0715598157771
FULL,16,1530,8192,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,255.80872367660146
NONE,16,1230,8192,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,219.60409198021017
FULL,16,1230,8192,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,203.66008158355783
NONE,16,930,8192,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,157.8297806334604
FULL,16,930,8192,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,176.6352027262234
NONE,16,2430,4096,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,604.6754954073097
FULL,16,2430,4096,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,366.5422760127753
NONE,16,2130,4096,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,459.1602967279891
FULL,16,2130,4096,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,300.819200474352
NONE,16,1830,4096,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,352.2798858189644
FULL,16,1830,4096,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,264.31038593354197
NONE,16,1530,4096,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,257.25896103115707
