cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,power_based_avg_power_W
FULL,16,2130,4096,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,300.6338541666667
NONE,16,1830,4096,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,355.7360591630592
FULL,16,1830,4096,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,264.0178467261905
NONE,16,1530,4096,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,258.41947999999996
FULL,16,1530,4096,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,239.4035595238095
NONE,16,1230,4096,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,221.8512888888889
FULL,16,1230,4096,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,192.46825
NONE,16,930,4096,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,159.0839047619048
FULL,16,930,4096,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,168.48589204545453
NONE,16,2430,2048,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,599.9092638888889
FULL,16,2430,2048,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,349.41223958333336
NONE,16,2130,2048,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,455.8891111111111
FULL,16,2130,2048,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,292.23157142857144
NONE,16,1830,2048,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,359.217873015873
FULL,16,1830,2048,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,253.99118253968254
NONE,16,1530,2048,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,261.27935897435896
FULL,16,1530,2048,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,231.4414126984127
NONE,16,1230,2048,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,225.14773333333335
FULL,16,1230,2048,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,186.0657876984127
NONE,16,930,2048,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,161.3096507936508
FULL,16,930,2048,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,162.6162416666667
NONE,16,2430,1024,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,600.5775
FULL,16,2430,1024,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,341.80840625
NONE,16,2130,1024,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,461.4488518518519
FULL,16,2130,1024,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,283.84422619047615
NONE,16,1830,1024,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,363.4732097222222
FULL,16,1830,1024,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,250.55008333333333
NONE,16,1530,1024,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,267.3879259259259
FULL,16,1530,1024,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,223.77675
NONE,16,1230,1024,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,231.14628888888888
FULL,16,1230,1024,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,180.67640476190476
NONE,16,930,1024,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,163.77033333333335
FULL,16,930,1024,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,157.32422045454547
NONE,16,2430,512,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,600.5737787878788
FULL,16,2430,512,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,334.36203571428575
NONE,16,2130,512,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,462.5107296296296
FULL,16,2130,512,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,275.7733015873016
NONE,16,1830,512,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,367.16745833333334
FULL,16,1830,512,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,255.3864821428571
NONE,16,1530,512,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,271.5805666666667
FULL,16,1530,512,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,217.84213888888894
NONE,16,1230,512,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,231.76679166666665
FULL,16,1230,512,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,175.4619027777778
NONE,16,930,512,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,166.42605555555556
FULL,16,930,512,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,153.58703703703702
NONE,16,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,600.2024444444445
FULL,16,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,331.01924107142855
NONE,16,2130,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,467.65754545454547
FULL,16,2130,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,272.48974999999996
NONE,16,1830,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,371.17171717171715
FULL,16,1830,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,250.4258611111111
NONE,16,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,273.9054242424242
FULL,16,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,214.51649603174607
NONE,16,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,235.79009090909094
FULL,16,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,172.70791666666665
NONE,16,930,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,167.7213
FULL,16,930,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,150.90586666666667
NONE,16,2430,8192,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,595.7020520833333
FULL,16,2430,8192,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,378.29318518518517
NONE,16,2130,8192,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,456.01533333333333
