cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,memory_util_pct
NONE,16,930,512,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,9.055555555555555
FULL,16,930,512,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,39.0
NONE,16,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,30.5
FULL,16,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,72.0
NONE,16,2130,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,27.424242424242422
FULL,16,2130,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,70.0
NONE,16,1830,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,23.487373737373733
FULL,16,1830,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,65.0
NONE,16,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,19.545454545454543
FULL,16,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,56.0
NONE,16,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,15.575757575757578
FULL,16,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,44.541666666666664
NONE,16,930,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,9.466666666666667
FULL,16,930,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,38.0
NONE,16,2430,8192,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,16.35483870967742
FULL,16,2430,8192,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,87.0
NONE,16,2130,8192,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,14.476190476190476
FULL,16,2130,8192,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,86.0
NONE,16,1830,8192,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,12.25
FULL,16,1830,8192,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,83.0
NONE,16,1530,8192,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,10.397163120567376
FULL,16,1530,8192,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,73.0
NONE,16,1230,8192,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,8.072292800967938
FULL,16,1230,8192,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,57.0
NONE,16,930,8192,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,5.820833333333333
FULL,16,930,8192,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,49.0
NONE,16,2430,4096,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,17.17241379310345
FULL,16,2430,4096,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,80.0
NONE,16,2130,4096,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,15.529411764705882
FULL,16,2130,4096,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,78.0
NONE,16,1830,4096,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,13.210526315789473
FULL,16,1830,4096,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,75.0
NONE,16,1530,4096,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,11.15151515151515
FULL,16,1530,4096,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,65.0
NONE,16,1230,4096,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,9.074074074074074
FULL,16,1230,4096,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,52.0
NONE,16,930,4096,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,6.27027027027027
FULL,16,930,4096,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,44.0
NONE,16,2430,2048,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,18.19047619047619
FULL,16,2430,2048,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,74.0
NONE,16,2130,2048,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,16.375
FULL,16,2130,2048,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,72.0
NONE,16,1830,2048,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,14.0
FULL,16,1830,2048,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,67.0
NONE,16,1530,2048,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,11.515151515151516
FULL,16,1530,2048,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,58.0
NONE,16,1230,2048,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,9.097069597069599
