cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,total_energy_based_j_per_token
NONE,16,1830,2048,Qwen/Qwen3-8B_prefill-all,0.020498311360677084
FULL,16,1830,2048,Qwen/Qwen3-8B_decoding-all,0.2563275204613095
NONE,16,2130,2048,Qwen/Qwen3-8B_prefill-all,0.02255680847167969
FULL,16,2130,2048,Qwen/Qwen3-8B_decoding-all,0.2616083412849873
NONE,16,2430,2048,Qwen/Qwen3-8B_prefill-all,0.024418328179253473
FULL,16,2430,2048,Qwen/Qwen3-8B_decoding-all,0.31156194444444446
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-all,0.0185439453125
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-all,0.2329189261642157
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-all,0.018754435221354167
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-all,0.228674565018315
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-all,0.018410420735677082
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-all,0.22701488753687313
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-all,0.01989202880859375
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-all,0.22495362654320986
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-all,0.022491002400716147
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-all,0.23033004909766455
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-all,0.02392593994140625
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-all,0.276637181712963
NONE,16,930,512,Qwen/Qwen3-8B_prefill-all,0.017986816406249998
FULL,16,930,512,Qwen/Qwen3-8B_decoding-all,0.21911186427696078
NONE,16,1230,512,Qwen/Qwen3-8B_prefill-all,0.01821832275390625
FULL,16,1230,512,Qwen/Qwen3-8B_decoding-all,0.21248695054945055
NONE,16,1530,512,Qwen/Qwen3-8B_prefill-all,0.018441067165798613
FULL,16,1530,512,Qwen/Qwen3-8B_decoding-all,0.2106446349557522
NONE,16,1830,512,Qwen/Qwen3-8B_prefill-all,0.0192523193359375
FULL,16,1830,512,Qwen/Qwen3-8B_decoding-all,0.2155314814814815
NONE,16,2130,512,Qwen/Qwen3-8B_prefill-all,0.02096399943033854
FULL,16,2130,512,Qwen/Qwen3-8B_decoding-all,0.21396005838641188
NONE,16,2430,512,Qwen/Qwen3-8B_prefill-all,0.023429484049479164
FULL,16,2430,512,Qwen/Qwen3-8B_decoding-all,0.2535980613425926
NONE,16,930,256,Qwen/Qwen3-8B_prefill-all,0.0169859619140625
FULL,16,930,256,Qwen/Qwen3-8B_decoding-all,0.2104639528508772
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-all,0.01750811089409722
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-all,0.20361906971947194
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-all,0.017730457124255954
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-all,0.20331770833333335
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-all,0.018989872685185188
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-all,0.20874368055555556
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-all,0.02092958170572917
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-all,0.2047403869047619
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0.024023240831163195
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-all,0.243629609375
