sm_clock,kv_group,kv_cache_lens,graph_mode,batch_size,avg_power,avg_total_energy_delta,avg_print_index,points
1320,1024,1037,seg,4,210.35283333333334,460867.0,16.5,12
1320,1024,1037,seg,5,214.49966666666668,469445.0,16.5,12
1320,1024,1037,seg,6,212.85333333333335,487002.0,16.5,12
1320,1024,1037,seg,7,214.21541666666667,469651.0,17.5,12
1320,1024,1037,seg,8,215.42175,494111.0,16.5,12
1320,1024,1037,seg,9,219.58758333333333,503888.0,17.5,12
1320,1024,1037,seg,10,220.48146153846153,505089.0,18.0,13
1320,1024,1037,seg,11,221.52638461538461,507456.0,18.0,13
1320,1024,1037,seg,12,222.13707692307693,531202.0,18.0,13
1320,1024,1037,seg,13,222.79466666666667,532977.0,17.5,12
1320,1024,1037,seg,14,222.64016666666666,532450.0,17.5,12
1320,1024,1037,seg,15,221.99246153846155,532826.0,18.0,13
1320,1024,1037,seg,16,222.22684615384617,553670.0,18.0,13
1320,1024,1038,mani,1,222.23472727272727,445405.0,16.0,11
1320,1024,1038,mani,2,210.58354545454543,441535.0,16.0,11
1320,1024,1038,mani,3,213.04454545454544,446098.0,16.0,11
1320,1024,1038,mani,4,211.9885833333333,465780.0,16.5,12
1320,1024,1038,mani,5,212.27058333333332,465705.0,16.5,12
1320,1024,1038,mani,6,210.67216666666664,483415.0,16.5,12
1320,1024,1038,mani,7,212.76991666666666,466594.0,17.5,12
1320,1024,1038,mani,8,215.00991666666667,471386.0,17.5,12
1320,1024,1038,mani,9,214.13541666666666,491527.0,17.5,12
1320,1024,1038,mani,10,216.01625,495163.0,17.5,12
1320,1024,1038,mani,11,218.2100833333333,500049.0,17.5,12
1320,1024,1038,mani,12,220.30391666666665,528131.0,17.5,12
1320,1024,1038,mani,13,222.1946923076923,511286.0,18.0,13
1320,1024,1038,mani,14,223.37750000000003,534607.0,17.5,12
1320,1024,1038,mani,15,223.85838461538464,535337.0,18.0,13
1320,1024,1038,mani,16,223.438,534112.0,18.0,13
1320,1024,1038,seg,1,221.41145454545452,463934.0,15.0,11
1320,1024,1038,seg,2,208.92445454545452,458077.0,16.0,11
1320,1024,1038,seg,3,210.94291666666666,462889.0,16.5,12
1320,1024,1038,seg,4,210.59625000000003,460867.0,16.5,12
1320,1024,1038,seg,5,214.516,469445.0,17.5,12
1320,1024,1038,seg,6,212.3815,466765.0,16.5,12
1320,1024,1038,seg,7,214.04108333333332,469651.0,17.5,12
1320,1024,1038,seg,8,215.42083333333335,493711.0,17.5,12
1320,1024,1038,seg,9,219.92646153846152,524650.0,18.0,13
1320,1024,1038,seg,10,220.38675,527462.0,17.5,12
1320,1024,1038,seg,11,221.28549999999998,529713.0,17.5,12
1320,1024,1038,seg,12,222.35569230769232,531418.0,18.0,13
1320,1024,1038,seg,13,222.35892307692308,532299.0,18.0,13
1320,1024,1038,seg,14,222.08646153846152,532728.0,18.0,13
1320,1024,1038,seg,15,222.43407692307693,532301.0,18.0,13
1320,1024,1038,seg,16,222.52876923076923,532000.0,18.0,13
1320,1024,1039,mani,1,223.37454545454545,445405.0,15.0,11
1320,1024,1039,mani,2,210.52875000000003,441183.0,16.5,12
1320,1024,1039,mani,3,213.07875,467794.0,16.5,12
1320,1024,1039,mani,4,211.9394166666667,465857.0,16.5,12
1320,1024,1039,mani,5,212.34391666666667,464901.0,16.5,12
1320,1024,1039,mani,6,210.79774999999998,482989.0,17.5,12
1320,1024,1039,mani,7,213.06191666666666,488748.0,16.5,12
1320,1024,1039,mani,8,214.55825000000002,493043.0,16.5,12
1320,1024,1039,mani,9,214.06430769230766,510928.0,18.0,13
1320,1024,1039,mani,10,216.09083333333334,495208.0,17.5,12
1320,1024,1039,mani,11,218.07591666666667,521088.0,17.5,12
1320,1024,1039,mani,12,220.35784615384617,527566.0,18.0,13
1320,1024,1039,mani,13,222.72675,511286.0,17.5,12
1320,1024,1039,mani,14,223.36853846153846,533867.0,18.0,13
1320,1024,1039,mani,15,223.25384615384615,534633.0,18.0,13
1320,1024,1039,mani,16,223.4906153846154,534112.0,18.0,13
1320,1024,1039,seg,1,221.81372727272728,463934.0,16.0,11
1320,1024,1039,seg,2,207.948,458077.0,16.5,12
1320,1024,1039,seg,3,211.07381818181818,462889.0,16.0,11
1320,1024,1039,seg,4,210.50975000000003,460919.0,16.5,12
1320,1024,1039,seg,5,214.33366666666666,470360.0,16.5,12
1320,1024,1039,seg,6,212.86225000000002,486831.0,17.5,12
1320,1024,1039,seg,7,214.284,469651.0,16.5,12
1320,1024,1039,seg,8,215.51616666666666,494111.0,17.5,12
1320,1024,1039,seg,9,219.77475,503104.0,17.5,12
1320,1024,1039,seg,10,220.698,504691.0,18.0,13
1320,1024,1039,seg,11,221.4746923076923,530133.0,18.0,13
1320,1024,1039,seg,12,222.38816666666665,509991.0,17.5,12
1320,1024,1039,seg,13,222.59638461538464,531940.0,18.0,13
1320,1024,1039,seg,14,222.4976923076923,533065.0,18.0,13
1320,1024,1039,seg,15,222.4073076923077,532562.0,18.0,13
1320,1024,1039,seg,16,222.317,553601.0,18.0,13
1320,1024,1040,mani,1,223.4419090909091,445546.0,15.0,11
1320,1024,1040,mani,2,210.6920909090909,441183.0,16.0,11
1320,1024,1040,mani,3,213.22783333333334,446098.0,16.5,12
1320,1024,1040,mani,4,212.1085833333333,466102.0,16.5,12
1320,1024,1040,mani,5,212.389,464901.0,16.5,12
1320,1024,1040,mani,6,210.40666666666667,482989.0,16.5,12
1320,1024,1040,mani,7,213.09275,487289.0,17.5,12
1320,1024,1040,mani,8,214.82075,492624.0,17.5,12
1320,1024,1040,mani,9,214.06466666666665,490256.0,17.5,12
1320,1024,1040,mani,10,216.0136153846154,495037.0,18.0,13
1320,1024,1040,mani,11,218.2335833333333,499800.0,17.5,12
1320,1024,1040,mani,12,220.46058333333335,505521.0,17.5,12
1320,1024,1040,mani,13,222.83624999999998,532882.0,17.5,12
1320,1024,1040,mani,14,223.39576923076922,534373.0,18.0,13
1320,1024,1040,mani,15,223.84184615384615,535211.0,18.0,13
1320,1024,1040,mani,16,223.50900000000001,534600.0,18.0,13
1320,1024,1040,seg,1,221.62581818181818,442145.0,16.0,11
