cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,kv_cache_lens,iteration,sleep_ns,sleep_freq,kernel,sm_clock,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util,avg_temperature
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,261,2,0,0,custom,2422,4005815,1600,9.7818,100,409.2096666666667,4002.8071174000006,99.0,44.666666666666664,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,262,0,0,0,custom,2422,4005480,1600,9.7808,100,409.014125,4000.4853537999993,99.0,44.75,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,262,1,0,0,custom,2422,4007630,1600,9.7812,100,409.2056666666667,4002.5224668,99.0,44.708333333333336,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,262,2,0,0,custom,2422,4005484,1600,9.7814,100,409.2742083333333,4003.2747413916663,99.0,44.729166666666664,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,263,0,0,0,custom,2422,4005132,1600,9.784,100,409.0606041666667,4002.248951166667,99.0,44.645833333333336,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,263,1,0,0,custom,2422,4004715,1600,9.7838,100,408.9439583333333,4001.025899541666,99.0,44.708333333333336,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,263,2,0,0,custom,2422,3964178,1600,9.7841,100,408.7027708333333,3998.7887801104166,99.0,44.833333333333336,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,264,0,0,0,custom,2422,4006312,1600,9.7827,100,408.86129166666666,3999.7673579875,99.0,44.833333333333336,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,264,1,0,0,custom,2422,4007212,1600,9.7826,100,408.87262499999997,3999.8373413249997,99.0,44.791666666666664,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,264,2,0,0,custom,2422,4008034,1600,9.7824,100,409.2557708333334,4003.503652600001,99.0,44.854166666666664,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,0,1,1,custom,2422,8226539,49152,14.8513,12,554.8357397260274,8240.032021393152,100.0,29.424657534246574,67.06849315068493
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,1,1,1,custom,2422,8303579,49152,14.8531,12,563.2388493150685,8365.842952761643,100.0,29.424657534246574,70.72602739726027
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,2,1,1,custom,2422,8441984,49152,14.8541,12,567.1994931506849,8425.23799120959,100.0,29.397260273972602,72.64383561643835
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,256,0,1,1,custom,2422,4163345,1600,10.0495,100,411.9735306122449,4140.127995887755,99.0,43.142857142857146,65.06122448979592
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,256,1,1,1,custom,2422,4134933,1600,10.0495,100,409.2221632653061,4112.4781297346935,99.0,43.12244897959184,63.775510204081634
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,256,2,1,1,custom,2422,4079132,1600,10.0491,100,407.92,4099.228872,99.0,43.12244897959184,63.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,257,0,1,1,custom,2422,4064423,1600,10.0512,100,406.4672448979592,4085.483571918367,99.0,43.285714285714285,62.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,257,1,1,1,custom,2422,4058031,1600,10.0513,100,406.002612244898,4080.854056457143,99.0,43.285714285714285,62.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,257,2,1,1,custom,2422,4054610,1600,10.0508,100,405.48926530612243,4075.4915077387755,99.0,43.244897959183675,61.714285714285715
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,258,0,1,1,custom,2422,4052879,1600,10.049,100,405.47253061224495,4074.5934601224494,99.0,43.30612244897959,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,258,1,1,1,custom,2422,4091619,1600,10.0489,100,405.1226326530612,4071.036823267347,99.0,43.36734693877551,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,258,2,1,1,custom,2422,4092044,1600,10.0488,100,405.3157959183673,4072.9373700244896,99.0,43.38775510204081,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,259,0,1,1,custom,2422,4087937,1600,10.0508,100,405.1004693877551,4071.583797722449,99.0,43.265306122448976,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,259,1,1,1,custom,2422,4048660,1600,10.0504,100,404.916306122449,4069.5708430530613,99.0,43.244897959183675,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,259,2,1,1,custom,2422,4045926,1600,10.0509,100,404.7364897959184,4067.965985289796,99.0,43.16326530612245,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,260,0,1,1,custom,2422,4045894,1600,10.0498,100,404.4687346938775,4064.8298899265296,99.0,43.204081632653065,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,260,1,1,1,custom,2422,4086790,1600,10.0497,100,404.6213469387755,4066.323150330612,99.0,43.183673469387756,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,260,2,1,1,custom,2422,4085307,1600,10.0497,100,404.5290612244898,4065.395706587755,99.0,43.224489795918366,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,261,0,1,1,custom,2422,4084010,1600,10.053,100,404.2835306122449,4064.262333244898,99.0,43.08163265306123,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,261,1,1,1,custom,2422,4085039,1600,10.0529,100,404.6053877551021,4067.4575025632653,99.0,43.12244897959184,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,261,2,1,1,custom,2422,4085554,1600,10.0524,100,404.6841632653061,4068.0470828081634,99.0,43.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,262,0,1,1,custom,2422,4087922,1600,10.0519,100,404.61267346938774,4067.1261324469388,99.0,43.16326530612245,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,262,1,1,1,custom,2422,4045143,1600,10.0522,100,404.99747999999994,4071.115668455999,99.0,43.34,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,262,2,1,1,custom,2422,4047949,1600,10.0521,100,405.197693877551,4073.08773862653,99.0,43.326530612244895,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,263,0,1,1,custom,2422,4045192,1600,10.0549,100,404.75236734693874,4069.744578436734,99.0,43.183673469387756,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,263,1,1,1,custom,2422,4046636,1600,10.0547,100,405.06612244897957,4072.818341387755,99.0,43.244897959183675,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,263,2,1,1,custom,2422,4046300,1600,10.0548,100,404.68575510204084,4069.0343304000003,99.0,43.183673469387756,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,264,0,1,1,custom,2422,4045028,1600,10.0534,100,404.78102,4069.425506468,99.0,43.38,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,264,1,1,1,custom,2422,4086578,1600,10.0537,100,404.71618367346935,4068.895095797958,99.0,43.3469387755102,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,264,2,1,1,custom,2422,4086521,1600,10.0535,100,404.82948979591845,4069.953275663266,99.0,43.204081632653065,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,0,1,2,custom,2422,8115061,49152,14.8432,12,550.4948904109588,8171.105757347943,100.0,29.410958904109588,66.94520547945206
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,1,1,2,custom,2422,8292024,49152,14.8474,12,557.985361111111,8284.63185056111,100.0,29.375,70.34722222222223
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,2,1,2,custom,2422,8325016,49152,14.8464,12,562.9981095890411,8358.495134202738,100.0,29.424657534246574,72.28767123287672
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,256,0,1,2,custom,2422,4167166,1600,10.016,100,412.2620816326531,4129.217009632654,99.0,44.0,65.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,256,1,1,2,custom,2422,4098883,1600,10.0158,100,409.7839387755102,4104.313973987755,99.0,44.0,63.857142857142854
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,256,2,1,2,custom,2422,4082494,1600,10.016,100,408.17510204081634,4088.2818220408167,99.0,44.0,63.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,257,0,1,2,custom,2422,4111635,1600,10.0174,100,407.072612244898,4077.809185902041,99.0,44.0,62.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,257,1,1,2,custom,2422,4066960,1600,10.0168,100,406.80424489795917,4074.8767602938774,99.0,44.0,62.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,257,2,1,2,custom,2422,4063158,1600,10.0171,100,406.68940816326534,4073.848470512245,99.0,44.0,62.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,258,0,1,2,custom,2422,4059925,1600,10.0157,100,405.9078163265306,4065.450915981633,99.0,43.93877551020408,61.02040816326531
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,258,1,1,2,custom,2422,4057782,1600,10.0154,100,406.22073469387755,4068.463146253061,99.0,43.87755102040816,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,258,2,1,2,custom,2422,4056457,1600,10.0156,100,405.94885714285704,4065.8213735999984,99.0,43.857142857142854,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,259,0,1,2,custom,2422,4054593,1600,10.0175,100,405.4158367346938,4061.2531444897954,99.0,43.775510204081634,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,259,1,1,2,custom,2422,4055186,1600,10.0172,100,405.49367346938783,4061.911225877552,99.0,43.87755102040816,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,259,2,1,2,custom,2422,4053129,1600,10.0173,100,406.02663265306126,4067.290587275511,99.0,43.89795918367347,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,260,0,1,2,custom,2422,4053028,1600,10.0167,100,405.21130612244895,4058.8800900367346,99.0,43.89795918367347,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,260,1,1,2,custom,2422,4052667,1600,10.0165,100,405.37595918367344,4060.4482951632654,99.0,43.816326530612244,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,260,2,1,2,custom,2422,4092678,1600,10.0166,100,405.30942857142855,4059.822422228571,99.0,44.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,261,0,1,2,custom,2422,4050492,1600,10.0196,100,405.3304081632653,4061.248557632653,99.0,44.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,261,1,1,2,custom,2422,4050944,1600,10.0199,100,405.5832653061224,4063.903760040816,99.0,44.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,261,2,1,2,custom,2422,4050485,1600,10.0197,100,405.0524081632653,4058.503614073469,99.0,44.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,262,0,1,2,custom,2422,4051744,1600,10.0191,100,405.4153469387755,4061.8969025142856,99.0,44.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,262,1,1,2,custom,2422,4091145,1600,10.0191,100,405.1710408163266,4059.4491750428574,99.0,44.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,262,2,1,2,custom,2422,4049704,1600,10.0185,100,405.12987755102034,4058.793678244897,99.0,44.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,263,0,1,2,custom,2422,4048646,1600,10.0218,100,405.5201428571429,4064.041767685715,99.0,44.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,263,1,1,2,custom,2422,4048476,1600,10.0216,100,405.10965306122455,4059.8468991183677,99.0,43.857142857142854,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,263,2,1,2,custom,2422,4049000,1600,10.0217,100,404.78265306122444,4056.6103141836725,99.0,43.83673469387755,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,264,0,1,2,custom,2422,4047827,1600,10.0206,100,404.65893877551014,4054.925361893877,99.0,43.83673469387755,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,264,1,1,2,custom,2422,4048009,1600,10.0205,100,404.8030408163265,4056.3288704999995,99.0,43.795918367346935,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,264,2,1,2,custom,2422,4089925,1600,10.0204,100,405.3996734693877,4062.266888032653,99.0,43.795918367346935,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,0,1,4,custom,2422,8121830,49152,14.8448,12,551.8013424657535,8191.380568635616,100.0,29.356164383561644,66.98630136986301
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,1,1,4,custom,2422,8305298,49152,14.8506,12,558.8432191780821,8299.157110726026,100.0,29.36986301369863,70.38356164383562
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,2,1,4,custom,2422,8379145,49152,14.8503,12,563.549890410959,8368.884937569866,100.0,29.36986301369863,72.4931506849315
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,256,0,1,4,custom,2422,4134991,1600,10.0033,100,412.8523469387755,4129.885882132653,99.0,43.0,65.0204081632653
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,256,1,1,4,custom,2422,4146720,1600,10.0031,100,409.16087755102046,4092.8771742306126,99.0,43.0,64.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,256,2,1,4,custom,2422,4091814,1600,10.0032,100,410.1518979591837,4102.8314656653065,99.0,43.0,63.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,257,0,1,4,custom,2422,4084606,1600,10.0044,100,407.949918367347,4081.2941633142864,99.0,43.0,62.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,257,1,1,4,custom,2422,4075600,1600,10.0048,100,408.1008775510204,4082.967659722449,99.0,43.0,62.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,257,2,1,4,custom,2422,4069843,1600,10.0045,100,407.62261224489794,4078.0604242040813,99.0,43.0,62.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,258,0,1,4,custom,2422,4070728,1600,10.0028,100,406.92800000000005,4070.419398400001,99.0,43.0,62.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,258,1,1,4,custom,2422,4106506,1600,10.0027,100,407.51665306122453,4076.266825575511,99.0,43.0,61.04081632653061
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,258,2,1,4,custom,2422,4067035,1600,10.0026,100,407.75636734693876,4078.6238400244893,99.0,43.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,259,0,1,4,custom,2422,4065240,1600,10.0048,100,406.44616326530604,4066.4125742367337,99.0,43.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,259,1,1,4,custom,2422,4064642,1600,10.005,100,406.45563265306123,4066.588604693878,99.0,43.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,259,2,1,4,custom,2422,4062482,1600,10.0048,100,406.9770408163265,4071.7238979591834,99.0,43.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,260,0,1,4,custom,2422,4064139,1600,10.0037,100,406.96812244897956,4071.187006542857,99.0,43.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,260,1,1,4,custom,2422,4062800,1600,10.0036,100,407.6232653061224,4077.700096816326,99.0,43.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,260,2,1,4,custom,2422,4061950,1600,10.0035,100,406.2925714285714,4064.3477382857145,99.0,43.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,261,0,1,4,custom,2422,4061449,1600,10.0071,100,406.7751224489796,4070.639327859183,99.0,43.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,261,1,1,4,custom,2422,4061862,1600,10.0069,100,406.65230612244903,4069.3289621367353,99.0,43.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,261,2,1,4,custom,2422,4061869,1600,10.007,100,406.56679591836735,4068.5139267551017,99.0,43.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,262,0,1,4,custom,2422,4063060,1600,10.0063,100,405.9852857142857,4062.4105644428564,99.0,43.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,262,1,1,4,custom,2422,4062114,1600,10.0063,100,405.9837346938775,4062.3950444673465,99.0,43.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,262,2,1,4,custom,2422,4062006,1600,10.0058,100,406.3091632653061,4065.4482258,99.0,43.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,263,0,1,4,custom,2422,4059961,1600,10.009,100,406.64404081632665,4070.1002045306136,99.0,43.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,263,1,1,4,custom,2422,4100164,1600,10.0092,100,405.8963673469388,4062.69792004898,99.0,43.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,263,2,1,4,custom,2422,4059261,1600,10.0093,100,405.91573469387754,4062.932363271428,99.0,43.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,264,0,1,4,custom,2422,4062644,1600,10.0078,100,405.9222448979592,4062.388642489796,99.0,43.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,264,1,1,4,custom,2422,4063447,1600,10.0081,100,406.1071632653061,4064.3611006755104,99.0,43.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,264,2,1,4,custom,2422,4063059,1600,10.0081,100,406.6645714285714,4069.9396973142857,99.0,43.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,0,1,8,custom,2422,8168993,49152,14.8493,12,550.4344246575342,8173.565902067123,100.0,29.328767123287673,67.0958904109589
