batch_size,sm_clock,input_len,model_name,kv_cache_lens,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util
16,1230,8192,mlp,8223,633660,4320,3.1149,270,204.9269375,638.32691761875,100.0,60.0
16,1230,8192,mlp,8224,654211,4320,3.1153,270,204.79493333333332,637.9976558133333,100.0,60.0
16,1230,8192,mlp,8225,634203,4320,3.1158,270,204.8038666666667,638.1278877600001,100.0,60.0
16,1230,8192,mlp,8226,634306,4320,3.1153,270,204.90206666666666,638.3314082866666,100.0,60.0
16,1230,8192,mlp,8227,634358,4320,3.1156,270,204.86756250000002,638.2853777250001,100.0,60.0
16,1230,8192,mlp,8228,634416,4320,3.1152,270,204.91756249999997,638.3591907,100.0,60.0
16,1230,8192,mlp,8229,634115,4320,3.1145,270,204.96059999999997,638.3497886999999,100.0,60.0
16,1230,8192,mlp,8230,634152,4320,3.1152,270,204.9983125,638.6107431,100.0,60.0
16,1230,8192,mlp,8231,634120,4320,3.115,270,204.84166666666664,638.0817916666666,100.0,60.0
16,1230,8192,mlp,8232,654324,4320,3.115,270,204.87243750000002,638.1776428125002,100.0,60.0
16,1230,8192,mlp,8233,634154,4320,3.1152,270,205.01220000000006,638.6540054400002,100.0,60.0
16,1230,8192,mlp,8234,654742,4320,3.1154,270,204.99760000000006,638.6495230400002,100.0,60.0
16,1230,8192,mlp,8235,634450,4320,3.1154,270,205.03553333333332,638.7677005466667,100.0,60.0
16,1230,8192,mlp,8236,634525,4320,3.1154,270,204.83075,638.12971855,100.0,60.0
16,1230,8192,mlp,8237,654641,4320,3.1156,270,204.9318125,638.485555025,100.0,60.0
16,1230,8192,mlp,8238,634200,4320,3.1154,270,204.90626666666665,638.3649831733334,100.0,60.0
16,1530,8192,mlp,8207,630066,4320,2.5239,270,252.38830769230768,637.0028497846153,100.0,74.0
16,1530,8192,mlp,8208,630557,4320,2.5237,270,252.56207692307686,637.390913530769,100.0,74.0
16,1530,8192,mlp,8209,630611,4320,2.5238,270,252.69969230769232,637.7634834461538,100.0,74.0
16,1530,8192,mlp,8210,631393,4320,2.5237,270,252.75376923076922,637.8746874076922,100.0,74.0
16,1530,8192,mlp,8211,631283,4320,2.5237,270,252.8633846153846,638.1513237538461,100.0,74.0
16,1530,8192,mlp,8212,657005,4320,2.5239,270,253.00615384615386,638.5622316923077,100.0,74.0
16,1530,8192,mlp,8213,657009,4320,2.5239,270,253.11184615384613,638.8289885076922,100.0,74.0
16,1530,8192,mlp,8214,631992,4320,2.5238,270,253.11915384615384,638.822120476923,100.0,74.0
16,1530,8192,mlp,8215,632340,4320,2.5238,270,253.16838461538464,638.9463690923078,100.0,74.0
16,1530,8192,mlp,8216,631813,4320,2.5237,270,253.27261538461536,639.1840994461537,100.0,74.0
16,1530,8192,mlp,8217,632586,4320,2.5239,270,253.32184615384617,639.3590075076922,100.0,74.0
16,1530,8192,mlp,8218,632622,4320,2.524,270,253.3388461538461,639.4272476923076,100.0,74.0
16,1530,8192,mlp,8219,657254,4320,2.524,270,253.48853846153847,639.8050710769231,100.0,74.0
16,1530,8192,mlp,8220,657934,4320,2.5239,270,253.44015384615383,639.6576042923076,100.0,74.0
16,1530,8192,mlp,8221,632749,4320,2.524,270,253.43061538461538,639.6588732307692,100.0,74.0
16,1530,8192,mlp,8222,632515,4320,2.524,270,253.62630769230768,640.1528006153845,100.0,74.0
