cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sleep_freq,kernel,sleep_ns,sm_clock,memory_util_pct
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,64,2422,42.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,64,2422,29.976525821596244
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,64,2422,42.49633986928105
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,64,2422,29.976525821596244
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,64,2422,43.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,64,2422,29.95305164319249
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,64,2422,43.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,128,2422,42.244131455399064
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,128,2422,39.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,128,2422,36.958137715179966
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,128,2422,40.238603988603984
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,128,2422,32.19972613458529
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,128,2422,41.93313222724987
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,128,2422,30.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,128,2422,42.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,128,2422,30.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,128,2422,42.49507625272331
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,128,2422,29.577464788732396
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,128,2422,42.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,128,2422,29.943661971830988
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,128,2422,42.98222222222222
