cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,kv_cache_lens,iteration,sleep_ns,sleep_freq,kernel,sm_clock,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util,avg_temperature
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,256,1,1,1,custom,2422,4176021,1600,10.4361,100,401.59376470588234,4191.072687847059,99.0,42.0,65.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,256,2,1,1,custom,2422,4157508,1600,10.4357,100,399.8749215686274,4172.974719013726,99.0,42.0,64.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,257,0,1,1,custom,2422,4185766,1600,10.4351,100,398.83309803921566,4161.863261349019,99.0,42.0,63.490196078431374
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,257,1,1,1,custom,2422,4138294,1600,10.4349,100,398.37956862745096,4157.050960670588,99.0,42.0,63.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,257,2,1,1,custom,2422,4175283,1600,10.4345,100,397.5860588235294,4148.611730794118,99.0,42.0,63.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,258,0,1,1,custom,2422,4171321,1600,10.4355,100,397.9189607843137,4152.483315264705,99.0,42.0,63.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,258,1,1,1,custom,2422,4130827,1600,10.4356,100,396.87317647058825,4141.609720376471,99.0,42.0,63.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,258,2,1,1,custom,2422,4164731,1600,10.4356,100,396.43547058823526,4137.041996870588,99.0,42.0,62.76470588235294
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,259,0,1,1,custom,2422,4126509,1600,10.4353,100,396.8318039215687,4141.058923462746,99.0,42.0,62.05882352941177
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,259,1,1,1,custom,2422,4124790,1600,10.4353,100,396.42560784313724,4136.82014552549,99.0,42.0,62.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,259,2,1,1,custom,2422,4164760,1600,10.4355,100,396.9968039215685,4142.8601473235285,99.0,42.0,62.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,260,0,1,1,custom,2422,4122862,1600,10.4368,100,396.9631764705882,4143.025280188235,99.0,42.0,62.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,260,1,1,1,custom,2422,4122513,1600,10.4365,100,396.52172549019616,4138.298988078433,99.0,42.0,62.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,260,2,1,1,custom,2422,4161885,1600,10.4368,100,396.57090196078434,4138.931189584314,99.0,42.0,62.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,261,0,1,1,custom,2422,4123371,1600,10.4376,100,396.70413725490187,4140.639103011764,99.0,42.0,62.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,261,1,1,1,custom,2422,4121024,1600,10.4377,100,396.82882352941175,4141.98021135294,99.0,42.0,62.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,261,2,1,1,custom,2422,4163220,1600,10.4373,100,396.89784313725494,4142.541858176472,99.0,42.0,62.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,262,0,1,1,custom,2422,4121281,1600,10.4391,100,396.92129411764705,4143.501081423529,99.0,42.0,62.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,262,1,1,1,custom,2422,4121600,1600,10.4392,100,396.6459019607843,4140.665899749019,99.0,42.0,62.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,262,2,1,1,custom,2422,4160760,1600,10.4392,100,396.1688431372549,4135.685787278431,99.0,42.0,62.0
