cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sleep_freq,kernel,sleep_ns,sm_clock,total_energy_based_avg_power_W
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,32,2422,397.3560635622616
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,64,2422,555.9874750574193
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,64,2422,384.09325111391706
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,64,2422,546.6242950846818
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,64,2422,389.53880100157056
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,64,2422,543.2758664262002
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,64,2422,393.7234295252464
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,64,2422,542.9000261627507
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,64,2422,396.1392885156978
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,64,2422,539.4318775731014
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,64,2422,396.7668711987912
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,64,2422,537.7400189188755
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,64,2422,397.55465251746523
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,64,2422,538.8400775831076
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,64,2422,397.6916692430603
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,128,2422,572.6049427481352
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,128,2422,365.60417543305545
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,128,2422,558.9470828051037
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,128,2422,385.0351607707202
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,128,2422,547.4478381685326
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,128,2422,389.87722881142395
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,128,2422,545.3951102957255
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,128,2422,394.3052662196262
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,128,2422,542.0318838778859
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,128,2422,396.03305178825536
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,128,2422,540.9279826125315
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,128,2422,396.912027832106
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,128,2422,540.0350418829569
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,128,2422,398.0974627684931
