graph_mode,sm_clock,kv_group,avg_power_mean,during_time_mean,energy_per_token_mean,total_energy_diff_mean,experiment_count
all,2422,16384,378.6238230752508,1.4713629411764706,34163.38117647059,2049802.8705882353,170
mani,1230,128,195.95101614549188,2.4503657276995305,12537.232237871674,1880584.8356807511,213
mani,1230,1024,198.07932402188618,2.6131944444444444,9983.76431216931,1497564.646825397,252
mani,1230,4096,200.42968425322496,2.540633064516129,9404.860483870965,1128583.2580645161,248
mani,1230,8192,202.84328807414198,2.092996694214876,12525.846952479336,1002067.7561983471,242
mani,1230,16384,205.30968331296373,2.2025630841121493,27130.01892523365,1627801.1355140186,214
mani,1530,128,239.84200427943847,1.9990562841530053,12815.177158469945,1922276.5737704919,183
mani,1530,1024,242.66443173519278,2.131149795918368,7364.462965986395,1104669.4448979592,245
mani,1530,4096,246.34565306348375,2.084941452991453,9459.082443019943,1135089.8931623932,234
mani,1530,8192,249.2732505723869,1.7042397379912664,13225.581441048036,1058046.5152838428,229
mani,1530,16384,252.98088690098635,1.8130356756756756,29472.79054054054,1768367.4324324324,185
mani,1830,128,289.0062431622279,1.685236470588235,15156.804235294116,2273520.6352941175,170
mani,1830,1024,285.2839913841336,1.7969374449339208,8505.902790014685,1275885.4185022027,227
mani,1830,4096,284.80496021486215,1.7743156682027652,9379.437403993856,1125532.4884792627,217
mani,1830,8192,286.8789036149288,1.452436274509804,15982.996691176471,1278639.7352941176,204
mani,1830,16384,288.0228103185435,1.4956180790960452,25659.326459510357,1539559.5875706214,177
mani,2130,128,311.2194792549535,1.6054216374269006,14651.406276803118,2197710.941520468,171
mani,2130,1024,307.4032216700432,1.719249193548387,7123.262231182795,1068489.3346774194,248
mani,2130,4096,309.9024614189155,1.6962357142857145,9331.247358630952,1119749.6830357143,224
mani,2130,8192,313.4022581643211,1.4293366834170853,17194.914824120602,1375593.1859296483,199
mani,2130,16384,315.62439152207844,1.4706563218390805,26898.186302682,1613891.1781609196,174
mani,2422,128,362.1859499675805,1.5752307291666667,11624.761909722221,1743714.2864583333,192
mani,2422,1024,365.60095555414296,1.6910197424892706,9623.993075822604,1443598.9613733906,233
mani,2422,4096,370.0870918167551,1.6845716814159293,10007.082079646018,1200849.8495575222,226
mani,2422,8192,372.8894707528938,1.402882564102564,18358.70288461538,1468696.2307692308,195
mani,2422,16384,376.70362550283704,1.480100606060606,34504.092525252534,2070245.5515151515,165
seg,1230,128,198.47259233405495,2.4617265402843596,10121.158641390206,1518173.796208531,211
seg,1230,1024,200.25663837947423,2.6188137404580156,7360.289847328244,1104043.4770992366,262
seg,1230,4096,202.24097935076284,2.5394968253968253,10798.280423280423,1295793.650793651,252
seg,1230,8192,204.57556030824566,2.0946193415637864,12173.416615226339,973873.329218107,243
seg,1230,16384,206.45253353553434,2.2048682464454976,25700.256872037917,1542015.4123222749,211
seg,1530,128,243.51219518522817,2.002325263157895,12222.438526315791,1833365.7789473685,190
seg,1530,1024,246.10637586903036,2.138207258064516,8569.094865591396,1285364.2298387096,248
seg,1530,4096,249.30732558806437,2.085434979423868,8609.20538408779,1033104.646090535,243
seg,1530,8192,251.73842783367365,1.706687111111111,14521.536777777777,1161722.9422222222,225
seg,1530,16384,254.67965424728553,1.7961488888888892,29390.97583333333,1763458.55,180
seg,1830,128,279.98278960601493,1.6932360465116276,12738.451782945733,1910767.7674418604,172
seg,1830,1024,276.98246572882533,1.8068754310344828,8064.417557471264,1209662.6336206896,232
seg,1830,4096,275.7907437593651,1.774296943231441,9244.337845705968,1109320.541484716,229
seg,1830,8192,278.5962534511547,1.455272037914692,14675.726481042655,1174058.1184834123,211
seg,1830,16384,282.02864509537056,1.526851461988304,26389.45935672515,1583367.5614035088,171
seg,2130,128,308.61881230368743,1.609796470588235,11323.54662745098,1698531.994117647,170
seg,2130,1024,311.4140674685689,1.7234608163265306,7986.326666666666,1197949.0,245
seg,2130,4096,314.19702483355394,1.7044986956521742,11207.298731884057,1344875.847826087,230
seg,2130,8192,316.7291436901973,1.4209663316582912,13289.703140703517,1063176.2512562815,199
seg,2130,16384,320.259891992244,1.5019654761904764,27646.180753968256,1658770.8452380951,168
seg,2422,128,369.4736839392578,1.5804247311827957,12706.627598566309,1905994.1397849463,186
seg,2422,1024,372.80357183087386,1.6969161825726142,9314.034467496542,1397105.1701244814,241
seg,2422,4096,375.53732539407844,1.680236936936937,11635.433483483484,1396252.018018018,222
seg,2422,8192,377.67528552287854,1.398134673366834,18675.965703517588,1494077.256281407,199
seg,2422,16384,381.95104436900147,1.485029069767442,30756.758527131784,1845405.511627907,172
