cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,power_based_avg_power_W
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-mlp,204.71815669988925
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-mlp,184.1213050595238
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-mlp,601.990052631579
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-mlp,380.22454158249155
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-mlp,579.6744869614512
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-mlp,318.8911672542735
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-mlp,450.7947021885522
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-mlp,281.8055738095239
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-mlp,326.738575
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-mlp,231.21346078431372
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-mlp,243.27897061224493
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-mlp,206.083220959596
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-mlp,204.02906289640592
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-mlp,182.6262436299081
NONE,16,2430,2048,Qwen/Qwen3-8B_prefill-mlp,601.280827586207
FULL,16,2430,2048,Qwen/Qwen3-8B_decoding-mlp,371.5616043158861
NONE,16,2130,2048,Qwen/Qwen3-8B_prefill-mlp,567.1240933333333
FULL,16,2130,2048,Qwen/Qwen3-8B_decoding-mlp,314.2275287393162
NONE,16,1830,2048,Qwen/Qwen3-8B_prefill-mlp,441.9305797101449
FULL,16,1830,2048,Qwen/Qwen3-8B_decoding-mlp,278.0640880952381
NONE,16,1530,2048,Qwen/Qwen3-8B_prefill-mlp,323.6121531746032
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-mlp,249.6472009803921
NONE,16,1230,2048,Qwen/Qwen3-8B_prefill-mlp,253.78634666666667
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-mlp,205.2345339423648
NONE,16,930,2048,Qwen/Qwen3-8B_prefill-mlp,202.1635217391304
FULL,16,930,2048,Qwen/Qwen3-8B_decoding-mlp,181.85806907894735
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-mlp,599.90470651341
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-mlp,371.7990492003367
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-mlp,561.8954794871796
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-mlp,313.17705202991453
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-mlp,440.3135384615384
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-mlp,282.0900167989418
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-mlp,322.9833194444445
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-mlp,252.5964950980392
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-mlp,252.94572974358974
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-mlp,204.65950653594768
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-mlp,204.57310144927536
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-mlp,181.31551989348372
NONE,16,2430,512,Qwen/Qwen3-8B_prefill-mlp,601.1384888888889
FULL,16,2430,512,Qwen/Qwen3-8B_decoding-mlp,368.4006212542088
NONE,16,2130,512,Qwen/Qwen3-8B_prefill-mlp,556.5591721611722
FULL,16,2130,512,Qwen/Qwen3-8B_decoding-mlp,311.6910358440171
NONE,16,1830,512,Qwen/Qwen3-8B_prefill-mlp,437.5219413919414
FULL,16,1830,512,Qwen/Qwen3-8B_decoding-mlp,283.8881333333333
NONE,16,1530,512,Qwen/Qwen3-8B_prefill-mlp,321.4061025641025
FULL,16,1530,512,Qwen/Qwen3-8B_decoding-mlp,252.85097549019608
NONE,16,1230,512,Qwen/Qwen3-8B_prefill-mlp,261.7769340659341
FULL,16,1230,512,Qwen/Qwen3-8B_decoding-mlp,204.22849910873444
NONE,16,930,512,Qwen/Qwen3-8B_prefill-mlp,202.72752777777782
FULL,16,930,512,Qwen/Qwen3-8B_decoding-mlp,179.72409443300447
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-mlp,599.5281531531532
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-mlp,370.3512666666666
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-mlp,527.833137254902
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-mlp,312.0476282051282
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-mlp,412.4806636957814
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-mlp,285.0735190476191
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-mlp,301.18787279040407
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-mlp,252.88666911764707
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-mlp,255.84769696969695
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-mlp,204.21862707961975
NONE,16,930,256,Qwen/Qwen3-8B_prefill-mlp,191.16338541666664
FULL,16,930,256,Qwen/Qwen3-8B_decoding-mlp,180.74975650062655
