cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,throughput_tokens_per_sec
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-mlp,1691.2983771889399
NONE,16,1230,2048,Qwen/Qwen3-8B_prefill-mlp,19526.587256920764
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-mlp,1371.1962199862578
NONE,16,930,2048,Qwen/Qwen3-8B_prefill-mlp,14464.234478801121
FULL,16,930,2048,Qwen/Qwen3-8B_decoding-mlp,1206.6807789312836
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-mlp,33279.01780676612
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-mlp,2063.998280001433
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-mlp,32182.70389188623
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-mlp,2042.2761857917528
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-mlp,28044.478819307966
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-mlp,1973.0584477141103
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-mlp,23702.234071134804
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-mlp,1691.3200837259446
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-mlp,19137.702790395844
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-mlp,1370.5947311414448
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-mlp,14329.820265010712
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-mlp,1203.0723887050876
NONE,16,2430,512,Qwen/Qwen3-8B_prefill-mlp,33709.622110966324
FULL,16,2430,512,Qwen/Qwen3-8B_decoding-mlp,2064.0223172413052
NONE,16,2130,512,Qwen/Qwen3-8B_prefill-mlp,32399.50957773588
FULL,16,2130,512,Qwen/Qwen3-8B_decoding-mlp,2042.2575836240476
NONE,16,1830,512,Qwen/Qwen3-8B_prefill-mlp,28197.139287626527
FULL,16,1830,512,Qwen/Qwen3-8B_decoding-mlp,1973.1909343567122
NONE,16,1530,512,Qwen/Qwen3-8B_prefill-mlp,23798.799214232353
FULL,16,1530,512,Qwen/Qwen3-8B_decoding-mlp,1691.3891536870206
NONE,16,1230,512,Qwen/Qwen3-8B_prefill-mlp,19223.027585128017
FULL,16,1230,512,Qwen/Qwen3-8B_decoding-mlp,1370.630193050647
NONE,16,930,512,Qwen/Qwen3-8B_prefill-mlp,14138.764238867794
FULL,16,930,512,Qwen/Qwen3-8B_decoding-mlp,958.0713335246693
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-mlp,33279.61867103606
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-mlp,2064.0519023051265
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-mlp,31488.749371679754
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-mlp,2042.2555167374435
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-mlp,27370.869941838882
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-mlp,1973.0988654818088
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-mlp,23072.660286012968
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-mlp,1691.4266511712572
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-mlp,18602.30409398039
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-mlp,1370.702734489856
NONE,16,930,256,Qwen/Qwen3-8B_prefill-mlp,13864.45111162397
FULL,16,930,256,Qwen/Qwen3-8B_decoding-mlp,1200.3898324823624
