cudagraph_mode,manipulated,batch_size,graph_batch_size,during_time,index,length,avg_power_js,total_energy_j,energy_per_sample,throughput,timestamp,power,temperature,graphics_clock,sm_clock,memory_clock,memory_used,memory_total,gpu_util,memory_util,power_violation_time_ns,power_reference_time_ns,thermal_violation_time_ns,decoding_steps,perf_state,power_state,total_energy,model_mode,kv_cache_lens,model_name,graph_mode,repeat_count
FULL,,1,1,1.3159,13,14,,,,,1773199522.5179057,223.081,62,1320,1320,9001,45402.0625,46068.0,100,100,14354332773056,1773199522508988,0,,0,0,24662816621,,8195,llama,all,60
FULL,,1,1,1.3159,14,14,,,,,1773199522.598607,223.101,62,1320,1320,9001,45402.0625,46068.0,100,100,14354418756256,1773199522594971,0,,0,0,24662816621,,8195,llama,all,60
FULL,,1,1,1.9742,1,20,,,,,1773199523.3427145,124.887,58,1320,1320,9001,45402.0625,46068.0,0,0,14354759137568,1773199523339057,0,,0,0,24662893622,,8192,llama,all,90
FULL,,1,1,1.9742,2,20,,,,,1773199523.4291642,124.587,58,1320,1320,9001,45402.0625,46068.0,0,0,14354804893888,1773199523421133,0,,0,0,24662909058,,8192,llama,all,90
FULL,,1,1,1.9742,3,20,,,,,1773199523.539521,124.345,60,1320,1320,9001,45402.0625,46068.0,0,0,14354914901600,1773199523531141,0,,0,0,24662931156,,8192,llama,all,90
FULL,,1,1,1.9742,4,20,,,,,1773199523.6486356,124.323,61,1320,1320,9001,45402.0625,46068.0,100,100,14355025127328,1773199523641366,0,,0,0,24662953338,,8192,llama,all,90
FULL,,1,1,1.9742,5,20,,,,,1773199523.7596743,130.203,61,1320,1320,9001,45402.0625,46068.0,100,100,14355134339584,1773199523750579,0,,0,0,24662975510,,8192,llama,all,90
FULL,,1,1,1.9742,6,20,,,,,1773199523.8686566,143.264,61,1320,1320,9001,45402.0625,46068.0,100,100,14355245048736,1773199523861288,0,,0,0,24662997690,,8192,llama,all,90
FULL,,1,1,1.9742,7,20,,,,,1773199523.9780443,156.307,61,1320,1320,9001,45402.0625,46068.0,100,100,14355354396256,1773199523970636,0,,0,0,24663019905,,8192,llama,all,90
FULL,,1,1,1.9742,8,20,,,,,1773199524.0872314,169.444,61,1320,1320,9001,45402.0625,46068.0,100,100,14355463692000,1773199524079932,0,,0,0,24663042073,,8192,llama,all,90
FULL,,1,1,1.9742,9,20,,,,,1773199524.1985703,182.474,61,1320,1320,9001,45402.0625,46068.0,100,100,14355572912608,1773199524189153,0,,0,0,24663064297,,8192,llama,all,90
FULL,,1,1,1.9742,10,20,,,,,1773199524.308377,195.639,61,1320,1320,9001,45402.0625,46068.0,100,100,14355684268608,1773199524300509,0,,0,0,24663108747,,8192,llama,all,90
FULL,,1,1,1.9742,11,20,,,,,1773199524.4177494,208.712,61,1320,1320,9001,45402.0625,46068.0,100,100,14355793720640,1773199524409961,0,,0,0,24663130949,,8192,llama,all,90
FULL,,1,1,1.9742,12,20,,,,,1773199524.537078,222.123,61,1320,1320,9001,45402.0625,46068.0,100,100,14355905498432,1773199524521739,0,,0,0,24663153194,,8192,llama,all,90
FULL,,1,1,1.9742,13,20,,,,,1773199524.64815,222.198,61,1320,1320,9001,45402.0625,46068.0,100,100,14356023205376,1773199524639446,0,,0,0,24663175420,,8192,llama,all,90
FULL,,1,1,1.9742,14,20,,,,,1773199524.7601328,222.341,61,1320,1320,9001,45402.0625,46068.0,100,100,14356134230400,1773199524750471,0,,0,0,24663197633,,8192,llama,all,90
FULL,,1,1,1.9742,15,20,,,,,1773199524.8784876,222.371,61,1320,1320,9001,45402.0625,46068.0,100,100,14356246237632,1773199524862478,0,,0,0,24663219874,,8192,llama,all,90
FULL,,1,1,1.9742,16,20,,,,,1773199524.9877717,222.411,61,1320,1320,9001,45402.0625,46068.0,100,100,14356364117440,1773199524980358,0,,0,0,24663242080,,8192,llama,all,90
FULL,,1,1,1.9742,17,20,,,,,1773199525.09727,222.35,61,1320,1320,9001,45402.0625,46068.0,100,100,14356473598400,1773199525089840,0,,0,0,24663264336,,8192,llama,all,90
FULL,,1,1,1.9742,18,20,,,,,1773199525.2076385,222.358,61,1320,1320,9001,45402.0625,46068.0,100,100,14356582911200,1773199525199153,0,,0,0,24663308853,,8192,llama,all,90
FULL,,1,1,1.9742,19,20,,,,,1773199525.317013,222.433,61,1320,1320,9001,45402.0625,46068.0,100,100,14356693510688,1773199525309752,0,,0,0,24663331029,,8192,llama,all,90
FULL,,1,1,1.9742,20,20,,,,,1773199525.3213875,222.419,61,1320,1320,9001,45402.0625,46068.0,100,100,14356701558560,1773199525317799,0,,0,0,24663331029,,8192,llama,all,90
FULL,,16,16,2.7030,1,26,,,,,1773199525.3567832,222.419,61,1320,1320,9001,45402.0625,46068.0,100,100,14356732596512,1773199525348837,0,,0,0,24663331029,,8193,llama,all,60
FULL,,16,16,2.7030,2,26,,,,,1773199525.4271443,222.419,61,1320,1320,9001,45402.0625,46068.0,100,100,14356802576768,1773199525418818,0,,0,0,24663348155,,8193,llama,all,60
FULL,,16,16,2.7030,3,26,,,,,1773199525.5368593,222.977,61,1320,1320,9001,45402.0625,46068.0,63,73,14356912744160,1773199525528986,0,,0,0,24663370798,,8193,llama,all,60
FULL,,16,16,2.7030,4,26,,,,,1773199525.6461751,223.388,61,1320,1320,9001,45402.0625,46068.0,100,100,14357022345536,1773199525638587,0,,0,0,24663393492,,8193,llama,all,60
FULL,,16,16,2.7030,5,26,,,,,1773199525.7564356,223.681,61,1320,1320,9001,45402.0625,46068.0,100,100,14357131760448,1773199525748003,0,,0,0,24663416196,,8193,llama,all,60
FULL,,16,16,2.7030,6,26,,,,,1773199525.8652947,224.101,61,1320,1320,9001,45402.0625,46068.0,100,100,14357242748608,1773199525858991,0,,0,0,24663438885,,8193,llama,all,60
FULL,,16,16,2.7030,7,26,,,,,1773199525.9761043,224.602,61,1320,1320,9001,45402.0625,46068.0,100,100,14357350869056,1773199525967111,0,,0,0,24663461589,,8193,llama,all,60
FULL,,16,16,2.7030,8,26,,,,,1773199526.0842469,225.017,61,1320,1320,9001,45402.0625,46068.0,100,100,14357461325408,1773199526077568,0,,0,0,24663484275,,8193,llama,all,60
FULL,,16,16,2.7030,9,26,,,,,1773199526.1960955,225.468,61,1320,1320,9001,45402.0625,46068.0,100,100,14357570258464,1773199526186501,0,,0,0,24663506971,,8193,llama,all,60
FULL,,16,16,2.7030,10,26,,,,,1773199526.3056393,225.85,61,1320,1320,9001,45402.0625,46068.0,100,100,14357681321600,1773199526297564,0,,0,0,24663552344,,8193,llama,all,60
FULL,,16,16,2.7030,11,26,,,,,1773199526.41684,226.651,61,1320,1320,9001,45402.0625,46068.0,100,100,14357791010048,1773199526407253,0,,0,0,24663575045,,8193,llama,all,60
FULL,,16,16,2.7030,12,26,,,,,1773199526.5255399,226.732,61,1320,1320,9001,45402.0625,46068.0,100,100,14357902078208,1773199526518321,0,,0,0,24663597761,,8193,llama,all,60
FULL,,16,16,2.7030,13,26,,,,,1773199526.6365483,227.064,62,1320,1320,9001,45402.0625,46068.0,100,100,14358010730432,1773199526626974,0,,0,0,24663620488,,8193,llama,all,60
FULL,,16,16,2.7030,14,26,,,,,1773199526.7450697,227.099,61,1320,1320,9001,45402.0625,46068.0,100,100,14358121798400,1773199526738042,0,,0,0,24663643173,,8193,llama,all,60
FULL,,16,16,2.7030,15,26,,,,,1773199526.8557096,227.232,62,1320,1320,9001,45402.0625,46068.0,100,100,14358230322720,1773199526846566,0,,0,0,24663665880,,8193,llama,all,60
FULL,,16,16,2.7030,16,26,,,,,1773199526.9640412,227.237,61,1320,1320,9001,45402.0625,46068.0,100,100,14358341245632,1773199526957489,0,,0,0,24663688596,,8193,llama,all,60
FULL,,16,16,2.7030,17,26,,,,,1773199527.0756922,227.14,61,1320,1320,9001,45402.0625,46068.0,100,100,14358449597728,1773199527065842,0,,0,0,24663711292,,8193,llama,all,60
FULL,,16,16,2.7030,18,26,,,,,1773199527.1841335,227.109,61,1320,1320,9001,45402.0625,46068.0,100,100,14358560921632,1773199527177166,0,,0,0,24663734000,,8193,llama,all,60
FULL,,16,16,2.7030,19,26,,,,,1773199527.2984443,227.243,61,1320,1320,9001,45402.0625,46068.0,100,100,14358669378176,1773199527285622,0,,0,0,24663756715,,8193,llama,all,60
