cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,kv_cache_lens,sm_clock,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding,4097,1530,417413,1296,1.7364,81,244.34533333333334,424.2812368,100.0,71.0
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding,4097,1530,418215,1296,1.735,81,246.51933333333332,427.71104333333335,100.0,71.0
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding,4098,1530,416254,1296,1.7366,81,245.40622222222223,426.1724455111111,100.0,71.0
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding,4098,1530,417876,1296,1.7367,81,246.01377777777782,427.25212786666674,100.0,71.0
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding,4098,1530,418197,1296,1.7349,81,246.32755555555553,427.35367613333335,100.0,71.0
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding,4099,1530,416625,1296,1.7369,81,245.48699999999997,426.38637029999995,100.0,71.0
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding,4099,1530,417289,1296,1.7365,81,245.89022222222223,426.9883708888889,100.0,71.0
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding,4099,1530,418008,1296,1.7352,81,246.23244444444447,427.2625376000001,100.0,71.0
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill,0,1830,1425670,16,3.3736,1,418.7657647058823,1412.7481838117646,100.0,19.705882352941178
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill,0,1830,1429457,16,3.3734,1,419.7054705882353,1415.8344344823531,100.0,19.294117647058822
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill,0,1830,1392211,16,3.3735,1,422.46276470588236,1425.1781367352942,100.0,19.352941176470587
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding,4096,1830,520330,1552,1.7901,97,289.38649999999996,518.0307736499999,100.0,83.0
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding,4096,1830,502405,1552,1.7899,97,279.43000000000006,500.15175700000015,100.0,83.0
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding,4096,1830,503240,1552,1.7896,97,279.6816,500.51819136,100.0,83.0
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding,4097,1830,520586,1552,1.79,97,289.0493333333334,517.3983066666667,100.0,83.0
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding,4097,1830,502513,1552,1.79,97,279.4312,500.181848,100.0,83.0
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding,4097,1830,503520,1552,1.7892,97,280.3616666666667,501.623094,100.0,83.0
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding,4098,1830,520627,1552,1.7898,97,289.3052,517.7984469600001,100.0,83.0
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding,4098,1830,521993,1552,1.79,97,290.2644,519.5732760000001,100.0,83.0
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding,4098,1830,503178,1552,1.7893,97,279.8188999999999,500.6799577699998,100.0,83.0
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding,4099,1830,520663,1552,1.7901,97,289.7468,518.67574668,100.0,83.0
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding,4099,1830,521879,1552,1.7901,97,289.80499999999995,518.7799304999999,100.0,83.0
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding,4099,1830,502837,1552,1.7896,97,279.8758888888889,500.86589075555554,100.0,83.0
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill,0,2130,1605862,16,2.9344,1,535.5597333333333,1571.5464814933332,100.0,23.4
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill,0,2130,1555790,16,2.9347,1,536.606,1574.7776282,100.0,23.066666666666666
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill,0,2130,1559337,16,2.9345,1,536.3199999999999,1573.8310399999998,100.0,23.666666666666668
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding,4096,2130,609036,1808,1.9954,113,304.8287272727273,608.2552424,100.0,86.0
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding,4096,2130,610743,1808,1.9965,113,305.8399090909091,610.6093784999999,100.0,86.0
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding,4096,2130,611736,1808,1.9963,113,306.48760000000004,611.8411958800001,100.0,86.0
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding,4097,2130,608803,1808,1.9953,113,304.9462,608.45915286,100.0,86.0
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding,4097,2130,610497,1808,1.9962,113,305.7708181818182,610.3797072545455,100.0,86.0
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding,4097,2130,611840,1808,1.9961,113,306.52181818181816,611.8482012727272,100.0,86.0
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding,4098,2130,608788,1808,1.9955,113,304.4297,607.48946635,100.0,86.0
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding,4098,2130,610008,1808,1.9962,113,305.2602,609.36041124,100.0,86.0
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding,4098,2130,611523,1808,1.9961,113,305.9674545454545,610.7416360181817,100.0,86.0
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding,4099,2130,608366,1808,1.9955,113,304.61081818181816,607.8508876818181,100.0,86.0
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding,4099,2130,609975,1808,1.9965,113,305.32579999999996,609.5829597,100.0,86.0
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding,4099,2130,610876,1808,1.9965,113,305.709,610.3480185,100.0,86.0
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill,0,2237,3414698,32,5.6596,2,599.5890357142858,3393.434106528572,100.0,24.464285714285715
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill,0,2234,3415396,32,5.6672,2,599.2096428571429,3395.840888,100.0,24.142857142857142
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill,0,2231,3355748,32,5.6766,2,598.8428928571428,3399.3915655928568,100.0,24.107142857142858
