cudagraph_mode,batch_size,sm_clock,input_len,model_name,gpu_util_pct
FULL,8,2130,256,nvidia/Qwen3-8B-FP8,100.0
FULL,512,2370,256,nvidia/Qwen3-8B-FP8,100.0
FULL,512,2362,256,nvidia/Qwen3-8B-FP8,100.0
FULL,256,2362,256,nvidia/Qwen3-8B-FP8,100.0
FULL,256,2370,256,nvidia/Qwen3-8B-FP8,100.0
FULL,128,2415,256,nvidia/Qwen3-8B-FP8,99.98729838709679
FULL,64,2422,256,nvidia/Qwen3-8B-FP8,100.0
FULL,16,2422,256,nvidia/Qwen3-8B-FP8,100.0
FULL,8,2422,256,nvidia/Qwen3-8B-FP8,100.0
FULL,512,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,256,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,128,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,64,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,16,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,8,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,512,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,256,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,128,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,64,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,16,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,8,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,512,930,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,256,930,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,128,930,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,128,922,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,64,922,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,64,915,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,16,930,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,8,930,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,512,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,256,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,128,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,64,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,16,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,8,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,512,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,256,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,128,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,64,1522,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,16,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,8,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,512,1822,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,256,1815,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,256,1822,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,128,1815,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,64,1807,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,64,1815,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,16,1830,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,8,1830,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,512,2122,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,256,2115,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,128,2107,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,128,2115,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,64,2122,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,16,2130,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,8,2130,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,512,2400,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,512,2392,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,256,2392,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,128,2385,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,64,2415,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,16,2422,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,8,2422,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.0
FULL,512,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,256,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,128,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
