cudagraph_mode,batch_size,sm_clock,input_len,model_name,power_based_avg_power_W
FULL,8,1830,256,nvidia/Qwen3-8B-FP8,242.4078384687208
FULL,512,2092,256,nvidia/Qwen3-8B-FP8,390.475898563129
FULL,256,2070,256,nvidia/Qwen3-8B-FP8,387.6578278278279
FULL,128,2115,256,nvidia/Qwen3-8B-FP8,361.0122663525499
FULL,64,2130,256,nvidia/Qwen3-8B-FP8,307.22389790629484
FULL,16,2130,256,nvidia/Qwen3-8B-FP8,280.4137639589169
FULL,8,2130,256,nvidia/Qwen3-8B-FP8,285.81563994107745
FULL,512,2370,256,nvidia/Qwen3-8B-FP8,488.97778782275225
FULL,512,2362,256,nvidia/Qwen3-8B-FP8,489.89145987345984
FULL,256,2362,256,nvidia/Qwen3-8B-FP8,493.3900206889367
FULL,256,2370,256,nvidia/Qwen3-8B-FP8,489.8082
FULL,128,2415,256,nvidia/Qwen3-8B-FP8,450.6759709318488
FULL,64,2422,256,nvidia/Qwen3-8B-FP8,377.6275071267816
FULL,16,2422,256,nvidia/Qwen3-8B-FP8,324.2743052485641
FULL,8,2422,256,nvidia/Qwen3-8B-FP8,312.1709539202509
FULL,512,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,101.912358012772
FULL,256,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.48896720142604
FULL,128,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,101.32085414182811
FULL,64,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,102.375711506368
FULL,16,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,109.806608757526
FULL,8,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,107.96933836891078
FULL,512,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,143.92851431085253
FULL,256,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,141.4349216994846
FULL,128,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,141.00736970940594
FULL,64,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,141.42114685314684
FULL,16,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,137.11838134502926
FULL,8,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,132.35532888888886
FULL,512,930,256,JunHowie/Qwen3-8B-GPTQ-Int8,172.8150306013431
FULL,256,930,256,JunHowie/Qwen3-8B-GPTQ-Int8,168.7558584564156
FULL,128,930,256,JunHowie/Qwen3-8B-GPTQ-Int8,167.56927532273045
FULL,128,922,256,JunHowie/Qwen3-8B-GPTQ-Int8,168.1046875
FULL,64,922,256,JunHowie/Qwen3-8B-GPTQ-Int8,164.1609505364826
FULL,64,915,256,JunHowie/Qwen3-8B-GPTQ-Int8,163.69364636591476
FULL,16,930,256,JunHowie/Qwen3-8B-GPTQ-Int8,150.8773405228758
FULL,8,930,256,JunHowie/Qwen3-8B-GPTQ-Int8,144.5544369070825
FULL,512,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,226.85310801553675
FULL,256,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,221.2247190969067
FULL,128,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,216.99498540705522
FULL,64,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,199.60331520418086
FULL,16,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,174.65233828680897
FULL,8,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,166.7827627586207
FULL,512,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8,271.152117315051
FULL,256,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8,261.67086376126554
FULL,128,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8,266.97783721576366
FULL,64,1522,256,JunHowie/Qwen3-8B-GPTQ-Int8,254.71635606619913
FULL,16,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8,216.15962681159422
FULL,8,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8,203.06079555555553
FULL,512,1822,256,JunHowie/Qwen3-8B-GPTQ-Int8,344.20527090020965
FULL,256,1815,256,JunHowie/Qwen3-8B-GPTQ-Int8,334.46402328239253
FULL,256,1822,256,JunHowie/Qwen3-8B-GPTQ-Int8,333.3981526050301
FULL,128,1815,256,JunHowie/Qwen3-8B-GPTQ-Int8,319.2534783005795
FULL,64,1807,256,JunHowie/Qwen3-8B-GPTQ-Int8,290.3469028640441
FULL,64,1815,256,JunHowie/Qwen3-8B-GPTQ-Int8,281.02116666666666
FULL,16,1830,256,JunHowie/Qwen3-8B-GPTQ-Int8,257.5543503174604
FULL,8,1830,256,JunHowie/Qwen3-8B-GPTQ-Int8,241.7159192881193
FULL,512,2122,256,JunHowie/Qwen3-8B-GPTQ-Int8,420.986259398222
FULL,256,2115,256,JunHowie/Qwen3-8B-GPTQ-Int8,403.5144998739496
FULL,128,2107,256,JunHowie/Qwen3-8B-GPTQ-Int8,385.83821607371794
FULL,128,2115,256,JunHowie/Qwen3-8B-GPTQ-Int8,384.6789455194735
FULL,64,2122,256,JunHowie/Qwen3-8B-GPTQ-Int8,334.9524457017625
FULL,16,2130,256,JunHowie/Qwen3-8B-GPTQ-Int8,279.1976258479532
FULL,8,2130,256,JunHowie/Qwen3-8B-GPTQ-Int8,273.86667444444447
FULL,512,2400,256,JunHowie/Qwen3-8B-GPTQ-Int8,540.2662071428571
FULL,512,2392,256,JunHowie/Qwen3-8B-GPTQ-Int8,553.1206564935064
FULL,256,2392,256,JunHowie/Qwen3-8B-GPTQ-Int8,532.3773195785985
FULL,128,2385,256,JunHowie/Qwen3-8B-GPTQ-Int8,504.7517611346766
FULL,64,2415,256,JunHowie/Qwen3-8B-GPTQ-Int8,424.16836394557816
FULL,16,2422,256,JunHowie/Qwen3-8B-GPTQ-Int8,343.46502248213125
FULL,8,2422,256,JunHowie/Qwen3-8B-GPTQ-Int8,315.1377311695906
FULL,512,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,98.02701367245352
FULL,256,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,96.66942512660785
FULL,128,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,95.9745793745728
FULL,64,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,94.50230953639384
FULL,16,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,94.44456245647358
FULL,8,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,91.67951644444445
FULL,512,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,137.08045965794994
FULL,256,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,134.95635481212497
FULL,128,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,132.29578169542384
FULL,64,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,129.86684259716733
FULL,16,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,125.1058459259259
FULL,8,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,118.55623407407408
FULL,512,930,256,JunHowie/Qwen3-8B-GPTQ-Int4,164.5397291641816
FULL,256,930,256,JunHowie/Qwen3-8B-GPTQ-Int4,161.42749292027418
FULL,128,922,256,JunHowie/Qwen3-8B-GPTQ-Int4,158.00028008658006
FULL,128,930,256,JunHowie/Qwen3-8B-GPTQ-Int4,158.73118621057512
FULL,64,922,256,JunHowie/Qwen3-8B-GPTQ-Int4,154.13823337434033
FULL,16,922,256,JunHowie/Qwen3-8B-GPTQ-Int4,142.16180341880343
FULL,8,930,256,JunHowie/Qwen3-8B-GPTQ-Int4,132.71929629629625
FULL,8,922,256,JunHowie/Qwen3-8B-GPTQ-Int4,132.5692493933844
FULL,512,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,216.03586996485782
FULL,256,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,211.58024986673445
FULL,128,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,206.31828373015875
FULL,64,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,196.72835723514208
FULL,16,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,168.87076751322752
FULL,8,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,155.09462732919252
FULL,512,1530,256,JunHowie/Qwen3-8B-GPTQ-Int4,250.45519853584798
FULL,256,1530,256,JunHowie/Qwen3-8B-GPTQ-Int4,249.56132588012326
FULL,128,1530,256,JunHowie/Qwen3-8B-GPTQ-Int4,243.55150818281336
FULL,64,1522,256,JunHowie/Qwen3-8B-GPTQ-Int4,249.21988578530508
FULL,16,1530,256,JunHowie/Qwen3-8B-GPTQ-Int4,213.29832810457515
FULL,8,1530,256,JunHowie/Qwen3-8B-GPTQ-Int4,192.6421026143791
FULL,512,1830,256,JunHowie/Qwen3-8B-GPTQ-Int4,330.10364509102106
FULL,256,1822,256,JunHowie/Qwen3-8B-GPTQ-Int4,318.17481021331605
FULL,128,1815,256,JunHowie/Qwen3-8B-GPTQ-Int4,303.13496028445513
FULL,128,1822,256,JunHowie/Qwen3-8B-GPTQ-Int4,303.3539448005698
FULL,64,1807,256,JunHowie/Qwen3-8B-GPTQ-Int4,284.20639998480476
FULL,16,1815,256,JunHowie/Qwen3-8B-GPTQ-Int4,244.72882857142855
FULL,16,1822,256,JunHowie/Qwen3-8B-GPTQ-Int4,255.831585070785
FULL,8,1822,256,JunHowie/Qwen3-8B-GPTQ-Int4,228.92245712962963
FULL,512,2122,256,JunHowie/Qwen3-8B-GPTQ-Int4,396.71991125760655
FULL,512,2130,256,JunHowie/Qwen3-8B-GPTQ-Int4,404.32918168067226
FULL,256,2122,256,JunHowie/Qwen3-8B-GPTQ-Int4,387.10874700165425
FULL,128,2115,256,JunHowie/Qwen3-8B-GPTQ-Int4,372.13798438735176
FULL,64,2115,256,JunHowie/Qwen3-8B-GPTQ-Int4,344.022466652743
FULL,16,2122,256,JunHowie/Qwen3-8B-GPTQ-Int4,277.7449295704295
FULL,8,2122,256,JunHowie/Qwen3-8B-GPTQ-Int4,248.23269642857142
FULL,8,2115,256,JunHowie/Qwen3-8B-GPTQ-Int4,260.92311721611725
FULL,512,2415,256,JunHowie/Qwen3-8B-GPTQ-Int4,542.3386100589225
FULL,256,2407,256,JunHowie/Qwen3-8B-GPTQ-Int4,521.756473599948
FULL,128,2392,256,JunHowie/Qwen3-8B-GPTQ-Int4,490.24360544217694
FULL,128,2400,256,JunHowie/Qwen3-8B-GPTQ-Int4,486.44850583932634
FULL,64,2407,256,JunHowie/Qwen3-8B-GPTQ-Int4,444.85530742296913
FULL,16,2415,256,JunHowie/Qwen3-8B-GPTQ-Int4,348.4484468240093
FULL,8,2422,256,JunHowie/Qwen3-8B-GPTQ-Int4,305.8227062937063
