cudagraph_mode,batch_size,sm_clock,input_len,model_name,memory_util_pct
FULL,8,1230,256,nvidia/Qwen3-8B-NVFP4,20.0
FULL,512,1530,256,nvidia/Qwen3-8B-NVFP4,53.72743517075915
FULL,256,1522,256,nvidia/Qwen3-8B-NVFP4,48.909523809523805
FULL,128,1522,256,nvidia/Qwen3-8B-NVFP4,42.15806067816776
FULL,64,1530,256,nvidia/Qwen3-8B-NVFP4,34.529198966408266
FULL,16,1530,256,nvidia/Qwen3-8B-NVFP4,26.0
FULL,8,1530,256,nvidia/Qwen3-8B-NVFP4,24.0
FULL,512,1815,256,nvidia/Qwen3-8B-NVFP4,61.909579589216946
FULL,256,1815,256,nvidia/Qwen3-8B-NVFP4,56.267371977240394
FULL,128,1815,256,nvidia/Qwen3-8B-NVFP4,48.90583900226757
FULL,64,1822,256,nvidia/Qwen3-8B-NVFP4,40.39596083231334
FULL,16,1830,256,nvidia/Qwen3-8B-NVFP4,30.12517615176152
FULL,8,1830,256,nvidia/Qwen3-8B-NVFP4,28.301086956521736
FULL,512,2107,256,nvidia/Qwen3-8B-NVFP4,64.0
FULL,512,2115,256,nvidia/Qwen3-8B-NVFP4,65.72663268174104
FULL,256,2107,256,nvidia/Qwen3-8B-NVFP4,60.76462068160597
FULL,128,2115,256,nvidia/Qwen3-8B-NVFP4,53.28703703703704
FULL,128,2122,256,nvidia/Qwen3-8B-NVFP4,52.0
FULL,64,2122,256,nvidia/Qwen3-8B-NVFP4,45.211963278969094
FULL,16,2130,256,nvidia/Qwen3-8B-NVFP4,34.157407407407405
FULL,8,2130,256,nvidia/Qwen3-8B-NVFP4,32.0
FULL,512,2407,256,nvidia/Qwen3-8B-NVFP4,68.30853770437105
FULL,256,2407,256,nvidia/Qwen3-8B-NVFP4,63.858259452106196
FULL,128,2415,256,nvidia/Qwen3-8B-NVFP4,56.193548387096776
FULL,64,2422,256,nvidia/Qwen3-8B-NVFP4,48.91279069767442
FULL,16,2422,256,nvidia/Qwen3-8B-NVFP4,37.08888888888889
FULL,8,2422,256,nvidia/Qwen3-8B-NVFP4,35.0
FULL,8,2287,256,nvidia/Qwen3-8B-NVFP4,34.0
FULL,8,2295,256,nvidia/Qwen3-8B-NVFP4,34.0
FULL,512,330,256,nvidia/Qwen3-8B-FP8,12.333569341699423
FULL,256,330,256,nvidia/Qwen3-8B-FP8,14.588081395348837
FULL,128,330,256,nvidia/Qwen3-8B-FP8,16.73814229249012
FULL,64,330,256,nvidia/Qwen3-8B-FP8,21.0
FULL,16,330,256,nvidia/Qwen3-8B-FP8,20.0
FULL,8,330,256,nvidia/Qwen3-8B-FP8,22.0
FULL,512,630,256,nvidia/Qwen3-8B-FP8,22.798701298701296
FULL,256,630,256,nvidia/Qwen3-8B-FP8,26.503703703703703
FULL,128,630,256,nvidia/Qwen3-8B-FP8,29.37865235539654
FULL,64,630,256,nvidia/Qwen3-8B-FP8,35.37784090909091
FULL,16,630,256,nvidia/Qwen3-8B-FP8,31.0
FULL,8,630,256,nvidia/Qwen3-8B-FP8,32.0
FULL,512,930,256,nvidia/Qwen3-8B-FP8,29.854071562105997
FULL,256,922,256,nvidia/Qwen3-8B-FP8,34.404481792717085
FULL,128,900,256,nvidia/Qwen3-8B-FP8,37.98048323863557
FULL,128,907,256,nvidia/Qwen3-8B-FP8,38.625
FULL,64,922,256,nvidia/Qwen3-8B-FP8,40.67741935483871
FULL,64,930,256,nvidia/Qwen3-8B-FP8,40.44444444444445
FULL,16,922,256,nvidia/Qwen3-8B-FP8,36.0
FULL,16,930,256,nvidia/Qwen3-8B-FP8,36.0
FULL,8,922,256,nvidia/Qwen3-8B-FP8,37.0
FULL,8,930,256,nvidia/Qwen3-8B-FP8,37.0
FULL,512,1230,256,nvidia/Qwen3-8B-FP8,37.71348690908439
FULL,256,1230,256,nvidia/Qwen3-8B-FP8,43.1404909658016
FULL,128,1230,256,nvidia/Qwen3-8B-FP8,47.14186507936508
FULL,64,1230,256,nvidia/Qwen3-8B-FP8,48.24677276932134
FULL,16,1230,256,nvidia/Qwen3-8B-FP8,43.0
FULL,8,1230,256,nvidia/Qwen3-8B-FP8,44.0
FULL,512,1530,256,nvidia/Qwen3-8B-FP8,46.47396414954556
FULL,256,1515,256,nvidia/Qwen3-8B-FP8,52.35766053391053
FULL,128,1522,256,nvidia/Qwen3-8B-FP8,57.3922619047619
FULL,64,1530,256,nvidia/Qwen3-8B-FP8,58.7093023255814
FULL,16,1530,256,nvidia/Qwen3-8B-FP8,52.0
FULL,8,1530,256,nvidia/Qwen3-8B-FP8,53.0
FULL,512,1815,256,nvidia/Qwen3-8B-FP8,54.24756833647303
FULL,256,1792,256,nvidia/Qwen3-8B-FP8,60.92314102564103
FULL,128,1807,256,nvidia/Qwen3-8B-FP8,65.93379790940766
FULL,64,1830,256,nvidia/Qwen3-8B-FP8,67.51021846370683
FULL,16,1830,256,nvidia/Qwen3-8B-FP8,60.0
FULL,8,1830,256,nvidia/Qwen3-8B-FP8,61.0
FULL,512,2092,256,nvidia/Qwen3-8B-FP8,58.46049642079054
FULL,256,2070,256,nvidia/Qwen3-8B-FP8,65.70485870485871
FULL,128,2115,256,nvidia/Qwen3-8B-FP8,71.04730229120473
FULL,64,2130,256,nvidia/Qwen3-8B-FP8,71.10683139534883
FULL,16,2130,256,nvidia/Qwen3-8B-FP8,64.0
FULL,8,2130,256,nvidia/Qwen3-8B-FP8,64.0
FULL,512,2370,256,nvidia/Qwen3-8B-FP8,62.088235294117645
FULL,512,2362,256,nvidia/Qwen3-8B-FP8,61.06060606060606
