cudagraph_mode,batch_size,sm_clock,input_len,model_name,throughput_tokens_per_sec
FULL,512,1815,256,nvidia/Qwen3-8B-FP8,14971.380722099364
FULL,256,1792,256,nvidia/Qwen3-8B-FP8,13549.586515187364
FULL,128,1807,256,nvidia/Qwen3-8B-FP8,10706.813590662277
FULL,64,1830,256,nvidia/Qwen3-8B-FP8,6959.481923217762
FULL,16,1830,256,nvidia/Qwen3-8B-FP8,1929.6355996327738
FULL,8,1830,256,nvidia/Qwen3-8B-FP8,1017.4853603013013
FULL,512,2092,256,nvidia/Qwen3-8B-FP8,16182.698419697377
FULL,256,2070,256,nvidia/Qwen3-8B-FP8,14532.952560512378
FULL,128,2115,256,nvidia/Qwen3-8B-FP8,11547.398314830894
FULL,64,2130,256,nvidia/Qwen3-8B-FP8,7347.135791728632
FULL,16,2130,256,nvidia/Qwen3-8B-FP8,2054.2864207863354
FULL,8,2130,256,nvidia/Qwen3-8B-FP8,1078.054829735547
FULL,512,2370,256,nvidia/Qwen3-8B-FP8,17149.779579927166
FULL,512,2362,256,nvidia/Qwen3-8B-FP8,17442.30060714953
FULL,256,2362,256,nvidia/Qwen3-8B-FP8,15534.585880538818
FULL,256,2370,256,nvidia/Qwen3-8B-FP8,15125.979488766654
FULL,128,2415,256,nvidia/Qwen3-8B-FP8,11922.207595439757
FULL,64,2422,256,nvidia/Qwen3-8B-FP8,7554.567475390926
FULL,16,2422,256,nvidia/Qwen3-8B-FP8,2135.6577727066892
FULL,8,2422,256,nvidia/Qwen3-8B-FP8,1118.992409501489
FULL,512,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,2324.403551553822
FULL,256,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,2175.2270528415643
FULL,128,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,1827.7986363629807
FULL,64,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,1518.3987220144093
FULL,16,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,752.0443303826685
FULL,8,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,416.53392861688366
FULL,512,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,4350.344624817168
FULL,256,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,4026.321879569338
FULL,128,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,3351.6275888153227
FULL,64,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,2756.2985729107527
FULL,16,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,1095.6248273996384
FULL,8,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,581.7542476139996
FULL,512,930,256,JunHowie/Qwen3-8B-GPTQ-Int8,5659.581175318756
FULL,256,930,256,JunHowie/Qwen3-8B-GPTQ-Int8,5182.590890555365
FULL,128,930,256,JunHowie/Qwen3-8B-GPTQ-Int8,4351.856425933298
FULL,128,922,256,JunHowie/Qwen3-8B-GPTQ-Int8,4373.742359239151
FULL,64,922,256,JunHowie/Qwen3-8B-GPTQ-Int8,3420.346310063894
FULL,64,915,256,JunHowie/Qwen3-8B-GPTQ-Int8,3423.122376624964
FULL,16,930,256,JunHowie/Qwen3-8B-GPTQ-Int8,1232.7195734181523
FULL,8,930,256,JunHowie/Qwen3-8B-GPTQ-Int8,649.0801992676212
FULL,512,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,7497.086703368443
FULL,256,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,6927.234339969073
FULL,128,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,5719.940463474988
FULL,64,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,4248.892846892326
FULL,16,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,1458.935359932637
FULL,8,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,766.36400019301
FULL,512,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8,9224.396506920424
FULL,256,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8,8484.943859463807
FULL,128,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8,7110.040007200562
FULL,64,1522,256,JunHowie/Qwen3-8B-GPTQ-Int8,5201.973423057294
FULL,16,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8,1791.2502401463958
FULL,8,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8,940.3246470844061
FULL,512,1822,256,JunHowie/Qwen3-8B-GPTQ-Int8,10843.2197445648
FULL,256,1815,256,JunHowie/Qwen3-8B-GPTQ-Int8,10051.143207114652
FULL,256,1822,256,JunHowie/Qwen3-8B-GPTQ-Int8,9884.475196145057
FULL,128,1815,256,JunHowie/Qwen3-8B-GPTQ-Int8,8299.651307948987
FULL,64,1807,256,JunHowie/Qwen3-8B-GPTQ-Int8,6058.447793219408
FULL,64,1815,256,JunHowie/Qwen3-8B-GPTQ-Int8,6077.872744539411
FULL,16,1830,256,JunHowie/Qwen3-8B-GPTQ-Int8,2110.1660833135684
FULL,8,1830,256,JunHowie/Qwen3-8B-GPTQ-Int8,1112.8955222957798
FULL,512,2122,256,JunHowie/Qwen3-8B-GPTQ-Int8,12014.503527936171
FULL,256,2115,256,JunHowie/Qwen3-8B-GPTQ-Int8,10970.707639212282
FULL,128,2107,256,JunHowie/Qwen3-8B-GPTQ-Int8,9090.23657695779
FULL,128,2115,256,JunHowie/Qwen3-8B-GPTQ-Int8,8957.520628922694
FULL,64,2122,256,JunHowie/Qwen3-8B-GPTQ-Int8,6525.942254053287
FULL,16,2130,256,JunHowie/Qwen3-8B-GPTQ-Int8,2293.530627305401
FULL,8,2130,256,JunHowie/Qwen3-8B-GPTQ-Int8,1200.1026754511217
FULL,512,2400,256,JunHowie/Qwen3-8B-GPTQ-Int8,13125.680958789977
FULL,512,2392,256,JunHowie/Qwen3-8B-GPTQ-Int8,12808.71164900033
FULL,256,2392,256,JunHowie/Qwen3-8B-GPTQ-Int8,11782.646983918528
FULL,128,2385,256,JunHowie/Qwen3-8B-GPTQ-Int8,9892.031052918452
FULL,64,2415,256,JunHowie/Qwen3-8B-GPTQ-Int8,6885.504578382384
FULL,16,2422,256,JunHowie/Qwen3-8B-GPTQ-Int8,2373.639415601185
FULL,8,2422,256,JunHowie/Qwen3-8B-GPTQ-Int8,1241.587668735213
FULL,512,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,2568.64507196518
FULL,256,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,2389.563648649853
FULL,128,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,1977.0899706993766
FULL,64,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,1630.9753520909228
FULL,16,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,817.9518552864766
FULL,8,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,479.3459590691811
FULL,512,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,4824.824063033663
FULL,256,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,4424.312820780766
FULL,128,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,3650.9151425346427
FULL,64,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,3000.4773486691065
FULL,16,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,1457.5893242079042
FULL,8,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,809.9005847032278
FULL,512,930,256,JunHowie/Qwen3-8B-GPTQ-Int4,6273.578468045852
FULL,256,930,256,JunHowie/Qwen3-8B-GPTQ-Int4,5727.587988685457
FULL,128,922,256,JunHowie/Qwen3-8B-GPTQ-Int4,4731.647410121289
FULL,128,930,256,JunHowie/Qwen3-8B-GPTQ-Int4,4685.85208536107
FULL,64,922,256,JunHowie/Qwen3-8B-GPTQ-Int4,3873.8073148295166
FULL,16,922,256,JunHowie/Qwen3-8B-GPTQ-Int4,1753.5156003355494
FULL,8,930,256,JunHowie/Qwen3-8B-GPTQ-Int4,953.4992539751207
FULL,8,922,256,JunHowie/Qwen3-8B-GPTQ-Int4,949.8204575496214
FULL,512,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,8283.540485512005
FULL,256,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,7643.453108599759
FULL,128,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,6359.5232329153705
FULL,64,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,5177.463151755608
FULL,16,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,2131.7484120174026
FULL,8,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,1144.038486946925
FULL,512,1530,256,JunHowie/Qwen3-8B-GPTQ-Int4,10190.664668154785
FULL,256,1530,256,JunHowie/Qwen3-8B-GPTQ-Int4,9326.25728835989
FULL,128,1530,256,JunHowie/Qwen3-8B-GPTQ-Int4,7679.634303128422
FULL,64,1522,256,JunHowie/Qwen3-8B-GPTQ-Int4,6319.337816674908
FULL,16,1530,256,JunHowie/Qwen3-8B-GPTQ-Int4,2624.002332446518
FULL,8,1530,256,JunHowie/Qwen3-8B-GPTQ-Int4,1406.0595960963626
FULL,512,1830,256,JunHowie/Qwen3-8B-GPTQ-Int4,11975.997939983905
FULL,256,1822,256,JunHowie/Qwen3-8B-GPTQ-Int4,11032.649673960008
FULL,128,1815,256,JunHowie/Qwen3-8B-GPTQ-Int4,8969.015729352943
FULL,128,1822,256,JunHowie/Qwen3-8B-GPTQ-Int4,8825.55734313951
FULL,64,1807,256,JunHowie/Qwen3-8B-GPTQ-Int4,7387.221288628624
FULL,16,1815,256,JunHowie/Qwen3-8B-GPTQ-Int4,3098.7456177317113
FULL,16,1822,256,JunHowie/Qwen3-8B-GPTQ-Int4,3081.057012276809
FULL,8,1822,256,JunHowie/Qwen3-8B-GPTQ-Int4,1655.268812589852
FULL,512,2122,256,JunHowie/Qwen3-8B-GPTQ-Int4,13489.263915926289
FULL,512,2130,256,JunHowie/Qwen3-8B-GPTQ-Int4,13212.172598750298
FULL,256,2122,256,JunHowie/Qwen3-8B-GPTQ-Int4,12067.570660074196
FULL,128,2115,256,JunHowie/Qwen3-8B-GPTQ-Int4,10190.22077153107
FULL,64,2115,256,JunHowie/Qwen3-8B-GPTQ-Int4,8198.860320457768
FULL,16,2122,256,JunHowie/Qwen3-8B-GPTQ-Int4,3396.1687685761476
FULL,8,2122,256,JunHowie/Qwen3-8B-GPTQ-Int4,1828.2928315685228
FULL,8,2115,256,JunHowie/Qwen3-8B-GPTQ-Int4,1816.4616840113529
FULL,512,2415,256,JunHowie/Qwen3-8B-GPTQ-Int4,14236.246096334606
FULL,256,2407,256,JunHowie/Qwen3-8B-GPTQ-Int4,13135.94014649202
FULL,128,2392,256,JunHowie/Qwen3-8B-GPTQ-Int4,11138.583090459548
FULL,128,2400,256,JunHowie/Qwen3-8B-GPTQ-Int4,10945.135085992108
FULL,64,2407,256,JunHowie/Qwen3-8B-GPTQ-Int4,8810.283908776853
FULL,16,2415,256,JunHowie/Qwen3-8B-GPTQ-Int4,3582.123305096724
FULL,8,2422,256,JunHowie/Qwen3-8B-GPTQ-Int4,1917.4898314933178
