cudagraph_mode,batch_size,sm_clock,input_len,model_name,total_energy_based_avg_power_W
FULL,256,2370,256,Qwen/Qwen3-8B,519.4825569064751
FULL,128,2422,256,Qwen/Qwen3-8B,450.8477978816974
FULL,64,2422,256,Qwen/Qwen3-8B,381.4077944035844
FULL,16,2422,256,Qwen/Qwen3-8B,357.67903150774794
FULL,8,2422,256,Qwen/Qwen3-8B,340.7213884575658
FULL,512,330,256,nvidia/Qwen3-8B-NVFP4,118.44863364189756
FULL,256,330,256,nvidia/Qwen3-8B-NVFP4,107.7071041907663
FULL,128,330,256,nvidia/Qwen3-8B-NVFP4,94.30677885526303
FULL,64,330,256,nvidia/Qwen3-8B-NVFP4,86.8707921397711
FULL,16,330,256,nvidia/Qwen3-8B-NVFP4,78.92954263914383
FULL,8,330,256,nvidia/Qwen3-8B-NVFP4,77.3894290668586
FULL,512,630,256,nvidia/Qwen3-8B-NVFP4,161.25341144976846
FULL,256,630,256,nvidia/Qwen3-8B-NVFP4,144.51674747873236
FULL,128,630,256,nvidia/Qwen3-8B-NVFP4,125.24045256549432
FULL,64,630,256,nvidia/Qwen3-8B-NVFP4,113.45131451228139
FULL,16,630,256,nvidia/Qwen3-8B-NVFP4,100.30848838903432
FULL,8,630,256,nvidia/Qwen3-8B-NVFP4,98.265114060019
FULL,512,930,256,nvidia/Qwen3-8B-NVFP4,188.64487602650445
FULL,256,930,256,nvidia/Qwen3-8B-NVFP4,168.88758396905988
FULL,128,930,256,nvidia/Qwen3-8B-NVFP4,145.5443246808362
FULL,64,930,256,nvidia/Qwen3-8B-NVFP4,131.25011883165695
FULL,16,930,256,nvidia/Qwen3-8B-NVFP4,115.2560282595913
FULL,8,930,256,nvidia/Qwen3-8B-NVFP4,111.96271363964875
FULL,512,1230,256,nvidia/Qwen3-8B-NVFP4,224.62354446607984
FULL,256,1230,256,nvidia/Qwen3-8B-NVFP4,202.38800150672049
FULL,128,1230,256,nvidia/Qwen3-8B-NVFP4,172.53235975992894
FULL,64,1230,256,nvidia/Qwen3-8B-NVFP4,156.87512936381268
FULL,16,1230,256,nvidia/Qwen3-8B-NVFP4,135.67125593653478
FULL,8,1230,256,nvidia/Qwen3-8B-NVFP4,131.20894419858
FULL,512,1530,256,nvidia/Qwen3-8B-NVFP4,280.2858824771208
FULL,256,1522,256,nvidia/Qwen3-8B-NVFP4,256.97900955092416
FULL,128,1522,256,nvidia/Qwen3-8B-NVFP4,215.6256908023848
FULL,64,1530,256,nvidia/Qwen3-8B-NVFP4,192.4987388137848
FULL,16,1530,256,nvidia/Qwen3-8B-NVFP4,166.75382763771188
