batch_size,sm_clock,input_len,model_name,power_based_avg_power_W
128,630,256,nvidia/Qwen3-8B-NVFP4,125.25470948121647
64,630,256,nvidia/Qwen3-8B-NVFP4,113.50800506919086
16,630,256,nvidia/Qwen3-8B-NVFP4,100.33870618768631
8,630,256,nvidia/Qwen3-8B-NVFP4,98.25861458937199
512,930,256,nvidia/Qwen3-8B-NVFP4,188.55711042016804
256,930,256,nvidia/Qwen3-8B-NVFP4,169.26220041937228
128,930,256,nvidia/Qwen3-8B-NVFP4,145.36971729651162
64,930,256,nvidia/Qwen3-8B-NVFP4,131.24271142093198
16,930,256,nvidia/Qwen3-8B-NVFP4,115.32696177844512
8,930,256,nvidia/Qwen3-8B-NVFP4,111.91585880989683
512,1230,256,nvidia/Qwen3-8B-NVFP4,224.5363640303183
256,1230,256,nvidia/Qwen3-8B-NVFP4,202.35425539963586
128,1230,256,nvidia/Qwen3-8B-NVFP4,172.63490739198005
64,1230,256,nvidia/Qwen3-8B-NVFP4,156.9392594735231
16,1230,256,nvidia/Qwen3-8B-NVFP4,135.6659054513679
8,1230,256,nvidia/Qwen3-8B-NVFP4,131.2029588645527
512,1530,256,nvidia/Qwen3-8B-NVFP4,280.55709731583175
256,1522,256,nvidia/Qwen3-8B-NVFP4,257.25744338505484
128,1522,256,nvidia/Qwen3-8B-NVFP4,215.2717692176341
64,1530,256,nvidia/Qwen3-8B-NVFP4,192.537284496124
16,1530,256,nvidia/Qwen3-8B-NVFP4,166.75725791962174
8,1530,256,nvidia/Qwen3-8B-NVFP4,161.19478699763593
512,1815,256,nvidia/Qwen3-8B-NVFP4,321.4623854850541
256,1815,256,nvidia/Qwen3-8B-NVFP4,292.1102040134771
128,1815,256,nvidia/Qwen3-8B-NVFP4,255.68718323680827
64,1822,256,nvidia/Qwen3-8B-NVFP4,229.67037281486358
16,1830,256,nvidia/Qwen3-8B-NVFP4,196.7860957452575
8,1830,256,nvidia/Qwen3-8B-NVFP4,190.321502173913
512,2115,256,nvidia/Qwen3-8B-NVFP4,372.6804678504802
256,2107,256,nvidia/Qwen3-8B-NVFP4,329.5589400402188
128,2115,256,nvidia/Qwen3-8B-NVFP4,289.2647944642503
64,2122,256,nvidia/Qwen3-8B-NVFP4,279.2065166761049
16,2130,256,nvidia/Qwen3-8B-NVFP4,247.28799065732397
8,2130,256,nvidia/Qwen3-8B-NVFP4,238.5360665432099
512,2407,256,nvidia/Qwen3-8B-NVFP4,467.4676521565426
256,2407,256,nvidia/Qwen3-8B-NVFP4,418.5028921575329
128,2415,256,nvidia/Qwen3-8B-NVFP4,343.7946945102579
64,2422,256,nvidia/Qwen3-8B-NVFP4,311.7494679351656
16,2422,256,nvidia/Qwen3-8B-NVFP4,272.689113963161
8,2295,256,nvidia/Qwen3-8B-NVFP4,275.95695641580323
