batch_size,sm_clock,input_len,model_name,kv_cache_lens,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J
128,330,256,Qwen/Qwen3-8B,269,1392427,23040,11.8187,180,118.18468965517242,1396.7893916275862
128,330,256,Qwen/Qwen3-8B,270,1392622,23040,11.8159,180,118.18840350877193,1396.5023570192982
128,330,256,Qwen/Qwen3-8B,271,1404659,23040,11.8248,180,118.15322807017543,1397.1382912842105
128,330,256,Qwen/Qwen3-8B,272,1393294,23040,11.8311,180,118.0928448275862,1397.1682564396551
128,330,256,Qwen/Qwen3-8B,273,1392498,23040,11.8308,180,118.12885964912282,1397.558912736842
128,330,256,Qwen/Qwen3-8B,274,1393366,23040,11.8176,180,118.23287719298246,1397.2288495157895
128,330,256,Qwen/Qwen3-8B,275,1393603,23040,11.8125,180,118.18098245614034,1396.0128552631577
128,330,256,Qwen/Qwen3-8B,276,1404916,23040,11.8079,180,118.23980701754387,1396.1638172824562
128,330,256,Qwen/Qwen3-8B,277,1406081,23040,11.8241,180,118.24375862068965,1398.1260263068964
128,330,256,Qwen/Qwen3-8B,278,1394022,23040,11.82,180,118.1701403508772,1396.7710589473686
128,330,256,Qwen/Qwen3-8B,279,1393333,23040,11.8295,180,118.1494482758621,1397.6488983793106
128,330,256,Qwen/Qwen3-8B,280,1392956,23040,11.8307,180,118.18260344827587,1398.1829266155173
128,330,256,Qwen/Qwen3-8B,281,1404700,23040,11.8308,180,118.17762068965519,1398.1357948551727
128,330,256,Qwen/Qwen3-8B,282,1394115,23040,11.8273,180,118.26043859649121,1398.7016854122805
128,330,256,Qwen/Qwen3-8B,283,1393778,23040,11.8279,180,118.19580701754386,1398.008185822807
128,330,256,Qwen/Qwen3-8B,284,1393566,23040,11.8256,180,118.17912068965518,1397.5390096275862
128,330,256,Qwen/Qwen3-8B,285,1406102,23040,11.8255,180,118.40563157894736,1400.205796236842
