model_name,sm_clock,curr_batch_size,curr_throughput,prev_batch_size,prev_throughput,abs_increase,pct_increase
JunHowie/Qwen3-8B-GPTQ-Int8,2422,16,2372.842269932827,8.0,1241.3078467186115,1131.5344232142156,91.15663179004459
Qwen/Qwen3-8B,330,16,448.8119981774912,8.0,239.0767496633269,209.7352485141643,87.72716243194625
Qwen/Qwen3-8B,330,64,1552.1062460982446,16.0,448.8119981774912,1103.2942479207534,245.82547980021573
Qwen/Qwen3-8B,330,128,1946.6813689810906,64.0,1552.1062460982446,394.575122882846,25.421914503259487
Qwen/Qwen3-8B,330,256,2183.809013043026,128.0,1946.6813689810906,237.12764406193537,12.18112259357832
Qwen/Qwen3-8B,330,512,2437.387917979561,256.0,2183.809013043026,253.57890493653485,11.611771149491943
Qwen/Qwen3-8B,630,16,705.497147292571,8.0,366.16109919808787,339.3360480944831,92.67397570021691
Qwen/Qwen3-8B,630,64,2346.1369196441474,16.0,705.497147292571,1640.6397723515765,232.550872621913
Qwen/Qwen3-8B,630,128,3540.564413307114,64.0,2346.1369196441474,1194.4274936629668,50.910391617047345
Qwen/Qwen3-8B,630,256,4005.8955618790737,128.0,3540.564413307114,465.3311485719596,13.142852219353085
Qwen/Qwen3-8B,630,512,4518.517700163662,256.0,4005.8955618790737,512.6221382845883,12.79669253394437
Qwen/Qwen3-8B,930,16,782.6249251417723,8.0,404.0973151836593,378.52760995811303,93.67238923279531
Qwen/Qwen3-8B,930,64,2666.048843812862,16.0,782.6249251417723,1883.4239186710895,240.65473232019895
Qwen/Qwen3-8B,930,128,4452.118797014972,64.0,2666.048843812862,1786.0699532021104,66.99314445596407
Qwen/Qwen3-8B,930,256,5381.329073908511,128.0,4452.118797014972,929.2102768935392,20.87119233019007
Qwen/Qwen3-8B,930,512,6159.913253278776,256.0,5381.329073908511,778.5841793702648,14.468250662187652
Qwen/Qwen3-8B,1230,16,910.4001594814789,8.0,470.91008424845415,439.49007523302475,93.32781138769327
Qwen/Qwen3-8B,1230,64,3125.5584063895476,16.0,910.4001594814789,2215.1582469080686,243.31698801214165
Qwen/Qwen3-8B,1230,128,5375.985361772954,64.0,3125.5584063895476,2250.4269553834065,72.00079674668312
Qwen/Qwen3-8B,1230,256,6864.349626846955,128.0,5375.985361772954,1488.3642650740012,27.685422576804626
