sm_clock,kv_group,kv_cache_lens,graph_mode,batch_size,avg_power,avg_total_energy_delta,avg_print_index,points
1230,1024,1036,mani,13,201.3640714285714,522417.0,19.5,14
1230,1024,1036,mani,14,202.11407142857144,544073.0,20.5,14
1230,1024,1036,mani,15,203.1247857142857,547077.0,20.5,14
1230,1024,1036,mani,16,204.1347142857143,569904.0,20.5,14
1230,1024,1036,seg,1,197.73923076923077,473004.0,18.0,13
1230,1024,1036,seg,2,190.80276923076923,476238.0,18.0,13
1230,1024,1036,seg,3,194.39315384615384,484481.0,19.0,13
1230,1024,1036,seg,4,194.75400000000002,485688.0,18.0,13
1230,1024,1036,seg,5,197.37715384615382,491946.0,19.0,13
1230,1024,1036,seg,6,197.0713846153846,491058.0,19.0,13
1230,1024,1036,seg,7,198.01569230769232,493687.0,19.0,13
1230,1024,1036,seg,8,198.49042857142857,514671.0,19.5,14
1230,1024,1036,seg,9,202.37685714285712,545449.0,19.5,14
1230,1024,1036,seg,10,203.22692857142857,526892.0,19.5,14
1230,1024,1036,seg,11,202.886,526145.0,19.5,14
1230,1024,1036,seg,12,203.2272857142857,547449.0,19.5,14
1230,1024,1036,seg,13,203.56507142857143,548313.0,19.5,14
1230,1024,1036,seg,14,203.81135714285713,568426.0,20.5,14
1230,1024,1036,seg,15,204.24321428571426,550094.0,20.5,14
1230,1024,1036,seg,16,205.11985714285714,573035.0,20.5,14
1230,1024,1037,all,1,196.97953846153845,471050.0,18.0,13
1230,1024,1037,all,2,190.398,473877.0,19.0,13
1230,1024,1037,all,3,191.12715384615387,476916.0,19.0,13
1230,1024,1037,all,4,194.02292307692306,483354.0,18.0,13
1230,1024,1037,all,5,193.72215384615384,483305.0,19.0,13
1230,1024,1037,all,6,194.93015384615384,504994.0,19.0,13
1230,1024,1037,all,7,196.3342307692308,508785.0,19.0,13
1230,1024,1037,all,8,197.80985714285717,492547.0,19.5,14
1230,1024,1037,all,9,199.04850000000002,515584.0,19.5,14
1230,1024,1037,all,10,198.75692857142855,514786.0,19.5,14
1230,1024,1037,all,11,199.3569285714286,536672.0,19.5,14
1230,1024,1037,all,12,200.55285714285714,540121.0,19.5,14
1230,1024,1037,all,13,200.54207142857143,539969.0,20.5,14
1230,1024,1037,all,14,201.0532142857143,541258.0,20.5,14
1230,1024,1037,all,15,202.95814285714286,546674.0,19.5,14
1230,1024,1037,all,16,202.94985714285713,546313.0,20.5,14
1230,1024,1037,mani,1,196.346,471688.0,18.0,13
1230,1024,1037,mani,2,190.21138461538462,473969.0,19.0,13
1230,1024,1037,mani,3,193.3036923076923,462755.0,19.0,13
1230,1024,1037,mani,4,193.68,482568.0,19.0,13
1230,1024,1037,mani,5,194.6896153846154,485282.0,19.0,13
1230,1024,1037,mani,6,194.8156923076923,485881.0,19.0,13
1230,1024,1037,mani,7,196.33061538461536,490011.0,19.0,13
1230,1024,1037,mani,8,197.71485714285714,512311.0,19.5,14
1230,1024,1037,mani,9,198.38092857142857,514299.0,19.5,14
1230,1024,1037,mani,10,199.48542857142857,517038.0,19.5,14
1230,1024,1037,mani,11,199.65842857142857,517463.0,19.5,14
1230,1024,1037,mani,12,200.55821428571429,539828.0,19.5,14
1230,1024,1037,mani,13,201.42014285714285,522307.0,20.5,14
1230,1024,1037,mani,14,202.26242857142856,543967.0,19.5,14
1230,1024,1037,mani,15,203.11371428571428,567523.0,20.5,14
1230,1024,1037,mani,16,204.01392857142858,549580.0,20.5,14
1230,1024,1037,seg,1,197.70984615384617,473384.0,18.0,13
1230,1024,1037,seg,2,190.99846153846153,476077.0,18.0,13
1230,1024,1037,seg,3,194.25353846153845,484481.0,18.0,13
1230,1024,1037,seg,4,194.67415384615384,485221.0,19.0,13
1230,1024,1037,seg,5,197.35746153846154,492103.0,19.0,13
1230,1024,1037,seg,6,197.08957142857142,510895.0,19.5,14
1230,1024,1037,seg,7,197.86407692307694,513048.0,19.0,13
1230,1024,1037,seg,8,198.4866923076923,514820.0,19.0,13
1230,1024,1037,seg,9,202.663,525550.0,19.5,14
1230,1024,1037,seg,10,203.1542142857143,546950.0,19.5,14
