cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sm_clock,memory_util_pct
FULL,32,1830,256,Qwen/Qwen3-8B_decoding-all,1830,74.0
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-all,1830,21.0
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-all,1830,76.0
NONE,8,1830,256,Qwen/Qwen3-8B_prefill-all,1830,19.0
FULL,8,1830,256,Qwen/Qwen3-8B_decoding-all,1830,77.0
NONE,512,1530,256,Qwen/Qwen3-8B_prefill-all,1530,22.21904761904762
FULL,512,1530,256,Qwen/Qwen3-8B_decoding-all,1523,43.28030303030303
NONE,256,1530,256,Qwen/Qwen3-8B_prefill-all,1530,20.333333333333332
FULL,256,1530,256,Qwen/Qwen3-8B_decoding-all,1522,52.0
NONE,128,1530,256,Qwen/Qwen3-8B_prefill-all,1530,21.0
FULL,128,1530,256,Qwen/Qwen3-8B_decoding-all,1530,64.0
NONE,64,1530,256,Qwen/Qwen3-8B_prefill-all,1530,22.0
FULL,64,1530,256,Qwen/Qwen3-8B_decoding-all,1530,64.0
NONE,32,1530,256,Qwen/Qwen3-8B_prefill-all,1530,21.375
FULL,32,1530,256,Qwen/Qwen3-8B_decoding-all,1530,64.0
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-all,1530,17.666666666666668
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-all,1530,65.0
NONE,8,1530,256,Qwen/Qwen3-8B_prefill-all,1530,16.0
FULL,8,1530,256,Qwen/Qwen3-8B_decoding-all,1530,66.0
NONE,512,1230,256,Qwen/Qwen3-8B_prefill-all,1230,16.674418604651162
FULL,512,1230,256,Qwen/Qwen3-8B_decoding-all,1230,36.76767676767677
NONE,256,1230,256,Qwen/Qwen3-8B_prefill-all,1230,16.471673254281953
FULL,256,1230,256,Qwen/Qwen3-8B_decoding-all,1230,43.474074074074075
NONE,128,1230,256,Qwen/Qwen3-8B_prefill-all,1230,17.67676767676768
FULL,128,1230,256,Qwen/Qwen3-8B_decoding-all,1230,52.36584362139917
NONE,64,1230,256,Qwen/Qwen3-8B_prefill-all,1230,18.0
FULL,64,1230,256,Qwen/Qwen3-8B_decoding-all,1230,52.0
NONE,32,1230,256,Qwen/Qwen3-8B_prefill-all,1230,17.62962962962963
FULL,32,1230,256,Qwen/Qwen3-8B_decoding-all,1230,52.0
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-all,1230,14.066666666666668
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-all,1230,53.0
NONE,8,1230,256,Qwen/Qwen3-8B_prefill-all,1230,13.0
FULL,8,1230,256,Qwen/Qwen3-8B_decoding-all,1230,53.0
NONE,512,930,256,Qwen/Qwen3-8B_prefill-all,934,13.222294372294371
FULL,512,930,256,Qwen/Qwen3-8B_decoding-all,930,28.0
NONE,256,930,256,Qwen/Qwen3-8B_prefill-all,934,13.404761904761905
FULL,256,930,256,Qwen/Qwen3-8B_decoding-all,928,33.0
NONE,128,930,256,Qwen/Qwen3-8B_prefill-all,930,12.544444444444444
FULL,128,930,256,Qwen/Qwen3-8B_decoding-all,930,43.074074074074076
NONE,64,930,256,Qwen/Qwen3-8B_prefill-all,930,13.592592592592593
FULL,64,930,256,Qwen/Qwen3-8B_decoding-all,930,45.0
NONE,32,930,256,Qwen/Qwen3-8B_prefill-all,930,13.194444444444443
FULL,32,930,256,Qwen/Qwen3-8B_decoding-all,930,45.0
NONE,16,930,256,Qwen/Qwen3-8B_prefill-all,930,11.0
FULL,16,930,256,Qwen/Qwen3-8B_decoding-all,930,46.0
NONE,8,930,256,Qwen/Qwen3-8B_prefill-all,930,10.0
FULL,8,930,256,Qwen/Qwen3-8B_decoding-all,930,46.0
