cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sm_clock,power_based_avg_power_W
NONE,32,1530,256,Qwen/Qwen3-8B_prefill-all,1530,314.65641666666664
FULL,32,1530,256,Qwen/Qwen3-8B_decoding-all,1530,224.76460370370373
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-all,1530,296.2385925925926
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-all,1530,220.67884156378594
NONE,8,1530,256,Qwen/Qwen3-8B_prefill-all,1530,255.12299999999996
FULL,8,1530,256,Qwen/Qwen3-8B_decoding-all,1530,216.29560617283948
NONE,512,1230,256,Qwen/Qwen3-8B_prefill-all,1230,244.58040310077516
FULL,512,1230,256,Qwen/Qwen3-8B_decoding-all,1230,227.6807138047138
NONE,256,1230,256,Qwen/Qwen3-8B_prefill-all,1230,242.9895184453228
FULL,256,1230,256,Qwen/Qwen3-8B_decoding-all,1230,222.9315296296296
NONE,128,1230,256,Qwen/Qwen3-8B_prefill-all,1230,253.2656590909091
FULL,128,1230,256,Qwen/Qwen3-8B_decoding-all,1230,215.15141399176957
NONE,64,1230,256,Qwen/Qwen3-8B_prefill-all,1230,250.01185714285717
FULL,64,1230,256,Qwen/Qwen3-8B_decoding-all,1230,201.84628585858587
NONE,32,1230,256,Qwen/Qwen3-8B_prefill-all,1230,246.2223333333333
FULL,32,1230,256,Qwen/Qwen3-8B_decoding-all,1230,201.3768
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-all,1230,231.13738888888892
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-all,1230,192.79367983539098
NONE,8,1230,256,Qwen/Qwen3-8B_prefill-all,1230,207.30505555555558
FULL,8,1230,256,Qwen/Qwen3-8B_decoding-all,1230,187.72529218106993
NONE,512,930,256,Qwen/Qwen3-8B_prefill-all,934,205.2717325757576
FULL,512,930,256,Qwen/Qwen3-8B_decoding-all,930,196.74603897707226
NONE,256,930,256,Qwen/Qwen3-8B_prefill-all,934,207.1540357142857
FULL,256,930,256,Qwen/Qwen3-8B_decoding-all,928,192.9817242798354
NONE,128,930,256,Qwen/Qwen3-8B_prefill-all,930,203.3532986111111
FULL,128,930,256,Qwen/Qwen3-8B_decoding-all,930,190.66187690631813
NONE,64,930,256,Qwen/Qwen3-8B_prefill-all,930,203.85133796296296
FULL,64,930,256,Qwen/Qwen3-8B_decoding-all,930,175.1934917695473
NONE,32,930,256,Qwen/Qwen3-8B_prefill-all,930,200.51688888888887
FULL,32,930,256,Qwen/Qwen3-8B_decoding-all,930,175.54092361111108
NONE,16,930,256,Qwen/Qwen3-8B_prefill-all,930,188.95377777777776
FULL,16,930,256,Qwen/Qwen3-8B_decoding-all,930,169.24566265432097
NONE,8,930,256,Qwen/Qwen3-8B_prefill-all,930,152.38833333333335
FULL,8,930,256,Qwen/Qwen3-8B_decoding-all,930,165.70009382716052
